Use Case,Industry,Chemical Formula,Year,Cycle Life (Min),Cycle Life (Max),Density Reduction (Min),Density Reduction (Max),Elastic Modulus Increase (Min),Elastic Modulus Increase (Max),Energy Consumption Reduction (Min),Energy Consumption Reduction (Max),Energy Density (Min),Energy Density (Max),Fast Charging Rate (Min),Fast Charging Rate (Max),Fluidity Improvement (Min),Fluidity Improvement (Max),Ionic Conductivity (Min),Ionic Conductivity (Max),Lubrication Longevity (Min),Lubrication Longevity (Max),Melting Point Reduction (Min),Melting Point Reduction (Max),Neurological Stability (Min),Neurological Stability (Max),Pressure Resistance (Min),Pressure Resistance (Max),Temperature Stability (Min),Temperature Stability (Max),Therapeutic Concentration (Min),Therapeutic Concentration (Max),Thermal Stability (Min),Thermal Stability (Max),Voltage (Min),Voltage (Max)
Glass and Ceramics,Glass and Ceramic Manufacturing,Li2O,N/A,,,,,,,5.0,15.0,,,,,0.8,0.95,,,,,10.0,20.0,,,,,,,,,,,,
Lithium-aluminum Alloys,"Aerospace, Defense",Li-Al,N/A,,,7.0,10.0,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithium-ion Batteries,"Electronics, Electric Vehicles, Energy Storage",Li(NiMnCo)O2,2010,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
Lithium-ion Batteries,"Electronics, Electric Vehicles, Energy Storage",LiCoO2,1980,,,,,,,,,100.0,265.0,,,,,,,,,,,,,,,,,,,,,,
Lithium-ion Batteries,"Electronics, Electric Vehicles, Energy Storage",LiCoO2 / C,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.7
Lithium-ion Batteries,"Electronics, Electric Vehicles, Energy Storage",LiCoO2 / C,1991,500.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithium-ion Batteries,"Electronics, Electric Vehicles, Energy Storage",LiFePO4,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,150.0,,
Lithium-ion Batteries,"Electronics, Electric Vehicles, Energy Storage",LiPF6 in EC/DMC,1990s,,,,,,,,,,,,,,,0.001,0.002,,,,,,,,,,,,,,,,
Lubricating Greases,"Automotive, Industrial Machinery",LiOH,2000,,,,,,,,,,,,,,,,,,,,,,,,,100.0,150.0,,,,,,
Lubricating Greases,"Automotive, Industrial Machinery",LiOH,N/A,,,,,,,,,,,,,,,,,2.0,5.0,,,,,200.0,500.0,,,,,,,,
Psychiatric Medication,Pharmaceutical,Li2CO3,N/A,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.6,1.2,,,,
