Use Case,Industry,Commercial Name,Chemical Name,Chemical Formula,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Property Overlap,References
Fuel Injector O-Rings,Automotive,DAI-EL™ G-701,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,Excellent fuel resistance; low compression set; high temperature stability,Daikin DAI-EL® G-701 Fluoroelastomer Copolymer
Jet Engine Fuel System Seals,Aerospace,DAI-EL™ G-702,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,High temperature resistance; chemical resistance; low permeability,DAI-EL™ G-702 by Daikin
Acidic Fluid Transfer Hoses,Chemical Processing,DAI-EL™ G-704,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,Excellent chemical resistance; flexibility; durability,DAIKIN DAI-EL G-701/G-702/G-704/G-741A/G-755
Downhole Tool Seals,Oil & Gas,DAI-EL™ G-741A,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,High chemical resistance; thermal stability; low compression set,DAIKIN DAI-EL G-701/G-702/G-704/G-741A/G-755
Sterile Processing Equipment Seals,Pharmaceutical,DAI-EL™ G-755,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,Chemical inertness; high purity; sterilization resistance,DAIKIN DAI-EL G-701/G-702/G-704/G-741A/G-755
Dairy Processing Equipment Gaskets,Food & Beverage,DAI-EL™ G-801,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,Food-grade compliance; chemical resistance; flexibility,DAI-EL™ G-801 by Daikin
Turbine Shaft Seals,Power Generation,DAI-EL™ G-802,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,High temperature resistance; chemical resistance; low compression set,DAI-EL™ G-802 by Daikin
Seals for Submersible Pumps,Marine,DAI-EL™ G-901,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,Water resistance; chemical resistance; durability,DAI-EL™ G-901 by Daikin
Semiconductor Manufacturing Equipment Seals,Electronics,DAI-EL™ G-902,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,Plasma resistance; low particle generation; chemical stability,DAI-EL™ G-902 by Daikin
Chemical Reactor Vessel Gaskets,Industrial,DAI-EL™ G-912,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,High chemical resistance; temperature stability; low compression set,DAI-EL™ G-912 by Daikin
Turbocharger Hoses,Automotive,DAI-EL™ G-558,Fluoroelastomer (FKM),(C2H2F2)n,60-80,12-18,150-300,-20 to 200,Excellent heat resistance; fuel resistance; good processability,DAI-EL G-558 by Daikin
Blowout Preventer Seals,Oil & Gas,DAI-EL™ G-755,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,High chemical resistance; thermal stability; low compression set,DAI-EL G-755 by Daikin
High-Temperature Valve Linings,Chemical Processing,DAI-EL™ G-7801,Fluoroelastomer (FKM),(C2H2F2)n,70-80,10-20,150-300,-20 to 200,Scorch resistance; good fluidity; low compression set,DAI-EL G-7801 by Daikin
Fuel System Diaphragms,Aerospace,DAI-EL™ G-621,Fluoroelastomer (FKM),(C2H2F2)n,60-80,15-20,150-300,-20 to 200,Low permeability; excellent fuel resistance; good mechanical properties,DAI-EL G-621 by Daikin
Pharmaceutical Processing Seals,Medical,DAI-EL™ G-902,Fluoroelastomer (FKM),(C2H2F2)n,65-75,20-25,150-300,-20 to 200,Steam resistance; chemical resistance; good mechanical properties,DAI-EL G-902 by Daikin
Plasma Etching Equipment Seals,Semiconductor,DAI-EL™ G-952,Fluoroelastomer (FKM),(C2H2F2)n,65-75,20-25,150-300,-20 to 200,Plasma resistance; low particle generation; chemical stability,DAI-EL G-952 by Daikin
Geothermal Well Casings,Power Generation,DAI-EL™ G-9074,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,Excellent compression set; resistance to steam and acids; thermal stability,DAI-EL G-9074 by Daikin
Subsea Control Line Hoses,Marine,DAI-EL™ G-704,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,Good fluidity; chemical resistance; flexibility,DAI-EL G-704 by Daikin
High-Pressure Hydraulic Seals,Industrial,DAI-EL™ G-701BP,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,Good compression set; mechanical properties; odorless,DAI-EL G-701BP by Daikin
High-Temperature Food Processing Hoses,Food & Beverage,DAI-EL™ G-704BP,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,150-300,-20 to 200,Good fluidity; odorless; chemical resistance,DAI-EL G-704BP by Daikin
Plasma Etching Equipment Seals,Semiconductor,SPOQ ARMOR®,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-20,,,Plasma resistance; low adhesion; low outgassing,"SPOQ ARMOR® - VALQUA AMERICA, INC."
Plasma Enhanced CVD Equipment Seals,Semiconductor,ARMOR CRYSTAL®,Fluoroelastomer (FKM),(C2H2F2)n,60-70,17.0-19.0,510-580,Up to 150,Plasma resistance; low metallic impurities; transparency,"ARMOR CRYSTAL® - VALQUA AMERICA, INC."
High-Temperature Gaskets,Industrial,No. 2010,Synthetic Rubber Sheet Gasket,Varies,,,,,Suitable for low-pressure applications; used with various fluids,"Seal Products - VALQUA, LTD."
Inflatable Seals for Vacuum Vessels,Industrial,No. 2045,Inflatable Seal,Varies,,,,,Expands upon air supply; suitable for vacuum vessels and airtight doors,"Seal Products - VALQUA, LTD."
Piston Seals,Hydraulic Machinery,No. 2060-D,Synthetic Rubber Packing (NBR),(C3H3N C4H6)n,,,,-30 to 80,Customizable rubber compounding; suitable for various hydraulic machinery,"Seal Products - VALQUA, LTD."
Rod Seals,Hydraulic Machinery,No. 2060-D,Synthetic Rubber Packing (HNBR),(C3H3N C4H6)n,,,,-20 to 80,High-pressure and abrasion resistance; suitable for hydraulic machinery,"Seal Products - VALQUA, LTD."
Dust Seals,Hydraulic Machinery,No. 2060-DSB,Synthetic Rubber Packing (NBR),(C3H3N C4H6)n,,,,-20 to 80,Includes both duster and oil lips; suitable for hydraulic machinery,"Seal Products - VALQUA, LTD."
U-Packing Seals,Pneumatic Machinery,No. 2060-MLP,Synthetic Rubber Packing (EPDM),(C2H4 C3H6 C6H8)n,,,,,Customizable rubber compounding; suitable for pneumatic machinery,"Seal Products - VALQUA, LTD."
High-Performance Composite Seals,Hydraulic Machinery,No. 4632MV,MV-Packing,Composite,,,,,Combines multiple materials; suitable for high-performance hydraulic machinery,"Seal Products - VALQUA, LTD."
Lens Ring Gaskets,High-Pressure Systems,No. 550-ZL,Lens Ring,Metal,,,,,"Self-sealing with line contact; suitable for high-temperature, high-pressure systems","Seal Products - VALQUA, LTD."
Packer Seals in Drilling Equipment,Oil & Gas,DAI-EL™ Base Resistant Elastomers,Fluoroelastomer (FKM),(C2H2F2)n,,,,,Excellent heat resistance; flexibility at low temperatures; oil and amine resistance,Daikin Packer Seals
Plasma Etching Equipment Seals,Semiconductor,SPOQ ARMOR®,Fluoroelastomer (FKM),(C2H2F2)n,65-75,10-15,,,Plasma resistance; low adhesion; low outgassing,"SPOQ ARMOR® - VALQUA AMERICA, INC."
Plasma Enhanced CVD Equipment Seals,Semiconductor,ARMOR CRYSTAL®,Fluoroelastomer (FKM),(C2H2F2)n,60-70,17.0-19.0,510-580,Up to 150,Plasma resistance; low metallic impurities; transparency,"ARMOR CRYSTAL® - VALQUA AMERICA, INC."
High-Temperature Gaskets,Industrial,No. 2010,Synthetic Rubber Sheet Gasket,Varies,,,,,Suitable for low-pressure applications; used with various fluids,"Seal Products - VALQUA, LTD."
Inflatable Seals for Vacuum Vessels,Industrial,No. 2045,Inflatable Seal,Varies,,,,,Expands upon air supply; suitable for vacuum vessels and airtight doors,"Seal Products - VALQUA, LTD."
Piston Seals,Hydraulic Machinery,No. 2060-D,Synthetic Rubber Packing (NBR),(C3H3N C4H6)n,,,,-30 to 80,Customizable rubber compounding; suitable for various hydraulic machinery,"Seal Products - VALQUA, LTD."
Rod Seals,Hydraulic Machinery,No. 2060-D,Synthetic Rubber Packing (HNBR),(C3H3N C4H6)n,,,,-20 to 80,High-pressure and abrasion resistance; suitable for hydraulic machinery,"Seal Products - VALQUA, LTD."
Dust Seals,Hydraulic Machinery,No. 2060-DSB,Synthetic Rubber Packing (NBR),(C3H3N C4H6)n,,,,-20 to 80,Includes both duster and oil lips; suitable for hydraulic machinery,"Seal Products - VALQUA, LTD."
U-Packing Seals,Pneumatic Machinery,No. 2060-MLP,Synthetic Rubber Packing (EPDM),(C2H4 C3H6 C6H8)n,,,,,Customizable rubber compounding; suitable for pneumatic machinery,"Seal Products - VALQUA, LTD."
High-Performance Composite Seals,Hydraulic Machinery,No. 4632MV,MV-Packing,Composite,,,,,Combines multiple materials; suitable for high-performance hydraulic machinery,"Seal Products - VALQUA, LTD."
High-Temperature Seals,Aerospace,Duruseal® R,PTFE-based Composite,(C2F4)n,,,,,High temperature resistance; chemical resistance; low friction,Industrial Sealing Applications
Pharmaceutical Processing Seals,Medical,EPDM Seals,Ethylene Propylene Diene Monomer,(C2H4 C3H6 C6H8)n,,,,,Steam resistance; chemical resistance; flexibility,Material considerations for chemical sealing applications
Brake System Seals,Automotive,Polyurethane Seals,Polyurethane,(C3H8N2O)n,,,,,High abrasion resistance; mechanical strength; oil resistance,Sealants for Bonding and Sealing Applications
