Application,Buyer_Name,Headquarters_Location,Manufacturing_Locations,Contact_Information,Website,Review_Score,Annual_Volume_kg,Annual_Revenue_USD,Established_Year,Employee_Count,Procurement_Contact,Required_Certifications,Typical_Lead_Time_Days,Payment_Terms,Contract_Duration_Months,Quality_Standards,Sustainability_Commitment,Supply_Chain_Tier,Recent_Growth_Rate
Infrared optical lenses,Thermo OptiSystems GmbH,"Munich, Germany","Munich (Germany), Dresden (Germany), Grenoble (France)",procurement@thermosystems.de,www.thermosystems.de,4.7,850,"$125,000,000",1984,520,"Dr. Brigitte Müller, +49-89-5502-8710","ISO 9001, ISO 14001, IATF 16949",45,"Net 60, 2% discount for early payment",24,"Six Sigma, ISO 9001:2015","Carbon neutral by 2028, 35% recycled materials",1,7.5%
Infrared optical lenses,FLIR Advanced Optics Inc.,"Wilsonville, Oregon, USA","Wilsonville (USA), Stockholm (Sweden), Täby (Sweden)",procurement@flir-optics.com,www.fliradvancedoptics.com,4.8,1240,"$215,000,000",1978,780,"James Rodriguez, +1-503-498-3547","ISO 9001, AS9100D, MIL-PRF-38534",30,"Net 45",36,"AS9100D, Six Sigma, 8D problem solving","Solar powered facilities, Zero waste initiative by 2026",1,8.2%
Infrared optical lenses,Nikon Precision Optics,"Tokyo, Japan","Tochigi (Japan), Kumagaya (Japan), San Diego (USA)",ir-optics@nikon.co.jp,www.nikon-precision.jp,4.9,970,"$180,000,000",1946,1250,"Takahiro Yamada, +81-3-6433-3600","ISO 9001, JIS Q 9100",60,"Net 60, Letter of Credit",12,"JIS Q 9100, TQM","30% renewable energy usage, Sustainable supply chain certification",1,5.3%
Infrared optical lenses,Beijing Hongyuan Optical Co.,"Beijing, China","Beijing (China), Shenzhen (China), Jinan (China)",purchase@hongyuan-optical.cn,www.hongyuan-optical.cn,4.3,2100,"$98,000,000",2001,1700,"Li Wei, +86-10-6841-7520","ISO 9001, GB/T 19001",21,"30% advance, 70% before shipment",6,"GB/T 19001-2016, Zero defect policy","Energy efficiency initiative, 15% annual reduction in water usage",2,12.7%
Infrared optical lenses,Raytheon Vision Systems,"Waltham, Massachusetts, USA","Goleta (USA), McKinney (USA), Dallas (USA)",rvs.procurement@rtx.com,www.raytheonvision.com,4.6,740,"$320,000,000",1965,930,"Patricia Simmons, +1-781-522-3000","ISO 9001, AS9100D, ITAR, CMMC Level 3",90,"Net 45, progress payments",48,"AS9100D, MIL-STD-810","Net zero emissions by 2030, Defense sector sustainability leadership",1,3.8%
Infrared optical lenses,Jenoptik Advanced Systems,"Jena, Germany","Jena (Germany), Jupiter (USA), Berlin (Germany)",procurement.optics@jenoptik.com,www.jenoptik.com,4.5,680,"$145,000,000",1991,650,"Stefan Hoffman, +49-3641-65-0","ISO 9001, ISO 14001",30,"Net 30, Early payment discounts",12,"ISO 9001:2015, Lean manufacturing","Climate neutral by 2025, Sustainable product lifecycle management",1,6.2%
Infrared optical lenses,II-VI Incorporated,"Saxonburg, Pennsylvania, USA","Saxonburg (USA), Santa Rosa (USA), Fuzhou (China), Singapore",procurement@ii-vi.com,www.ii-vi.com,4.4,920,"$305,000,000",1971,14000,"Robert Chen, +1-724-352-4455","ISO 9001, AS9100, ISO 14001",45,"Net 60",24,"Six Sigma, ISO 9001:2015, APQP","Greenhouse gas reduction program, Circular economy initiative",1,15.3%
Infrared optical lenses,LightPath Technologies,"Orlando, Florida, USA","Orlando (USA), Zhenjiang (China), Riga (Latvia)",supplierinfo@lightpath.com,www.lightpath.com,4.2,310,"$42,000,000",1985,350,"Maria Gonzalez, +1-407-382-4003","ISO 9001, ISO 14001, RoHS",21,"Net 30, volume discounts",12,"ISO 9001:2015","Reduced material waste program, 25% energy from renewables",2,9.7%
Infrared optical lenses,Edmund Optics Ltd.,"Barrington, New Jersey, USA","Barrington (USA), York (UK), Akita (Japan), Singapore",procurement@edmundoptics.com,www.edmundoptics.com,4.7,450,"$85,000,000",1942,1050,"Thomas Reynolds, +1-856-547-3488","ISO 9001, ISO 14001",14,"Net 45",12,"ISO 9001:2015, PPAP","Sustainable packaging, Responsible material sourcing",2,7.8%
Infrared optical lenses,Ophir Optronics Solutions Ltd.,"Jerusalem, Israel","Jerusalem (Israel), North Logan (USA), Saitama (Japan)",vendors@ophiropt.com,www.ophiropt.com,4.5,280,"$65,000,000",1976,420,"Dana Levi, +972-2-548-4444","ISO 9001, ISO 13485, RoHS",30,"Net 45, Letter of Credit for new vendors",12,"ISO 9001:2015, ISO 10110","Water conservation initiative, Energy efficiency program",2,6.4%
Night vision devices,L3Harris Technologies,"Melbourne, Florida, USA","Melbourne (USA), Londonderry (UK), Sydney (Australia)",supplier.relations@l3harris.com,www.l3harris.com,4.9,1850,"$450,000,000",1974,48000,"Michael Johnson, +1-321-727-9100","ISO 9001, AS9100D, ITAR, CMMC Level 4",75,"Net 60, progress payments",36,"AS9100D, MIL-STD-810, DO-254","Carbon footprint reduction 50% by 2030, Defense innovation sustainability",1,5.8%
Night vision devices,Elbit Systems Land,"Haifa, Israel","Haifa (Israel), Fort Worth (USA), Sderot (Israel), Arad (Israel)",procurement@elbitsystems.com,www.elbitsystems.com,4.8,920,"$375,000,000",1966,17500,"Amir Cohen, +972-4-831-5315","ISO 9001, AS9100D, ITAR, IPC-610",60,"Net 45, Letter of Credit",48,"AS9100D, MIL-HDBK-217","Military-grade sustainability program, Reduced hazardous materials",1,7.2%
Night vision devices,Thales Night Vision,"Paris, France","Bordeaux (France), Glasgow (UK), Melbourne (Australia)",suppliers@thalesgroup.com,www.thalesgroup.com/defense,4.7,1050,"$295,000,000",1968,81000,"Sophie Bernard, +33-1-57-77-80-00","ISO 9001, EN 9100, AQAP 2110",45,"Net 60",24,"EN 9100:2018, AQAP 2110","Green IT & Networks, Circular economy approach",1,3.9%
