ID,Material Name,Chemical Name,Chemical Formula,Material Type,Density (g/cm³),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (°C),Thermal Conductivity (W/m·K),Specific Heat (J/g·K),Elastic Modulus (GPa),Poisson's Ratio,Hardness (Vickers),Fracture Toughness (MPa·m½),Coefficient of Thermal Expansion (10⁻⁶/K),Electrical Resistivity (Ω·cm),Corrosion Resistance (1-10),Key Features,References
,Alpha-SiC Powder,Alpha Silicon Carbide,α-SiC,Ceramic,3.21,410,380,2730,120,0.67,410,0.14,2800,4.6,4.0,1.0E3,9,"Hexagonal crystal structure (4H/6H), Extreme hardness, High thermal stability, Wide bandgap semiconductor","Handbook of Semiconductor Silicon Carbide Materials (Elsevier, 2022), Journal of the American Ceramic Society 103(2):658-690 (2020), Saint-Gobain Technical Data Sheets (2023)"
,Beta-SiC Powder,Beta Silicon Carbide,β-SiC,Ceramic,3.20,390,360,2700,130,0.67,390,0.14,2700,4.2,4.2,1.0E2,9,"Cubic crystal structure (3C), Higher oxidation resistance, Easier to synthesize, Better electrical properties","Materials Science and Engineering: R 134:1-23 (2021), Journal of the European Ceramic Society 40:4523-4531 (2020), Washington Mills Technical Data (2022)"
,Submicron SiC Powder,Submicron Silicon Carbide,SiC,Ceramic,3.21,420,390,2730,125,0.67,415,0.14,2850,4.5,4.0,1.0E3,9,"Ultra-fine particle size (0.2-0.8μm), High purity, Enhanced sinterability, Uniform microstructure","Journal of Materials Processing Technology 255:463-476 (2018), Advanced Engineering Materials 22:1900996 (2020), Superior Graphite Technical Data (2023)"
,Nano-SiC Powder,Nano Silicon Carbide,SiC,Ceramic,3.22,430,400,2730,115,0.67,420,0.14,2900,4.4,4.0,1.0E2,9,"Nanoparticle size (20-100nm), Very high surface area, Enhanced reactivity, Quantum confinement effects","Nanoscale Research Letters 15:115 (2020), Journal of Nanomaterials 2019:7921273, US Research Nanomaterials Technical Data (2023)"
,Green SiC Powder,Green Silicon Carbide,SiC,Ceramic,3.20,400,370,2730,120,0.67,410,0.14,2750,4.5,4.0,1.0E3,9,"High purity (>99%), Green coloration from nitrogen doping, Sharp particle morphology, Abrasive applications","Journal of Materials Science 54:5458-5479 (2019), Handbook of Ceramic Hard Materials (Wiley, 2021), Electro Abrasives Technical Data (2022)"
,Black SiC Powder,Black Silicon Carbide,SiC,Ceramic,3.18,380,350,2700,110,0.67,400,0.14,2600,4.3,4.1,1.0E2,8,"Lower purity (95-98%), Black coloration from impurities, Blocky particle morphology, Cost-effective","Industrial Ceramics 39:482-501 (2019), Ceramic Industry Technical Report (2021), SNAM Abrasives Technical Data (2023)"
,SiC Whiskers,Silicon Carbide Whiskers,SiC,Ceramic,3.21,450,420,2730,130,0.67,450,0.14,2900,5.0,4.0,1.0E3,9,"High aspect ratio (10:1 to 100:1), Single crystal structure, Exceptional mechanical reinforcement, High temperature stability","Composites Science and Technology 188:107962 (2020), Journal of the American Ceramic Society 102:7653-7667 (2019), Advanced Composite Materials Technical Data (2022)"
,SiC Fibers,Silicon Carbide Fibers,SiC,Ceramic,3.15,430,400,2600,18,0.71,200,0.20,2500,4.8,4.5,1.0E2,9,"Continuous fiber form, High tensile strength, Excellent creep resistance, CMC reinforcement","Composites Part A: Applied Science 119:21-29 (2019), Journal of the European Ceramic Society 38:4489-4497 (2018), NGS Advanced Fibers Technical Data (2023)"
,Reaction-Bonded SiC Powder,Reaction-Bonded Silicon Carbide,Si-SiC,Ceramic,3.00,350,320,2500,150,0.67,380,0.15,2400,4.0,4.2,1.0E1,8,"Silicon metal infiltrated, Near-net shape capability, High thermal conductivity, Complex part production","Journal of Materials Processing Technology 275:116355 (2020), Ceramics International 46:10939-10946 (2020), CoorsTek Technical Data (2023)"
,Sintered SiC Powder,Sintered Silicon Carbide,SiC,Ceramic,3.15,380,360,2730,125,0.67,410,0.14,2700,4.0,4.4,1.0E7,10,"Fully dense microstructure, Excellent wear resistance, High thermal shock resistance, Superior chemical inertness","Journal of the European Ceramic Society 40:4523-4531 (2020), Advanced Engineering Materials 18:1511-1517 (2018), Saint-Gobain Hexoloy Technical Data (2023)"
