Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Density (g/cm3),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Elastic Modulus (GPa),Poisson's Ratio,Fatigue Strength (MPa),Fracture Toughness (MPa·m^0.5),Coefficient of Thermal Expansion (µm/m·K),Electrical Resistivity (µΩ·cm),Corrosion Resistance (1-10),Property Overlap,Reference
,2024 Aluminum Alloy,Aluminum-Copper Alloy,Al-Cu-Mg,Alloy,2.779,475,335,559,128,0.896,72.4,0.33,138,26,23.2,3.4,6,"High strength for structural integrity, Good fatigue resistance, Lightweight for fuel efficiency","ASM Aerospace Specification Metals Inc., ASM Handbook Vol 2: Properties and Selection: Nonferrous Alloys"
,300M Steel,Low-Alloy Vacuum Melted Steel,Fe-Cr-Ni-Mo,Alloy,7.808,1942,1774,1494,45,0.479,200,0.28,760,98,11.5,23.2,5,"Ultra-high tensile strength, Excellent fracture toughness, Fatigue resistance under cyclic loads","ASM Aerospace Specification Metals Inc.: 300M Steel, MMPDS-08"
,Carbon Fiber Reinforced Polymer,Carbon Fiber Epoxy Composite,CFRP,Composite,1.565,1669,1390,350,6,0.895,135,0.30,620,32,2.1,1000000,9,"Lightweight for aerodynamics, High tensile strength, Corrosion resistance","Composite Materials Handbook (CMH-17), Journal of Composite Materials 54(16):2135-2151"
,Kapton,Polyimide Film,(C22H10N2O5)n,Polymer,1.433,231,69,559,0.15,1.12,2.8,0.34,55,1.6,20,1.4E16,10,"High-temperature stability, Excellent electrical insulation, Lightweight for space applications","DuPont Kapton Technical Data Sheet, Journal of Applied Polymer Science 118(5):2748-2757"
,Maraging Steel (250 Grade),Nickel-Maraging Steel,Fe-Ni-Co-Mo-Ti,Alloy,8.004,1894,1784,1406,30,0.481,186,0.30,689,65,10.3,39,7,"Very high strength, Toughness for impact resistance, Good corrosion resistance","ASM Specialty Handbook: Stainless Steels, Journal of Materials Science and Technology 35(9):1814-1826"
,7075 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,Alloy,2.807,514,433,599,150,0.894,71.7,0.33,159,28,23.6,5.2,6,"High strength-to-weight ratio, Good fatigue resistance, Corrosion resistance with anodizing","ASM Aerospace Specification Metals Inc., MMPDS-08, MIL-HDBK-5J"
,Magnesium Alloy (AZ31),Magnesium-Aluminum-Zinc Alloy,Mg-Al-Zn,Alloy,1.78,262,203,634,98,1.096,45,0.35,97,17,26,9.2,4,"Low density for weight savings, Good machinability, Moderate strength","ASM Specialty Handbook: Magnesium and Magnesium Alloys, Journal of Magnesium and Alloys 8(3):666-704"
,A-286 Alloy,Iron-Nickel-Chromium Alloy,Fe-Ni-Cr-Ti-Al,Alloy,8,962,682,1383,18,0.488,201,0.31,310,98,17.0,79,8,"Oxidation resistance at high temperatures, Good mechanical properties, High strength-to-weight ratio","ASM Specialty Handbook: Heat-Resistant Materials, MMPDS-08, Special Metals Corporation Data Sheet"
,Rene 41,Nickel-Based Superalloy,Ni-Cr-Co-Mo,Alloy,8.367,1348,1003,1234,14,0.447,219,0.31,490,110,12.1,134,9,"High-temperature strength, Oxidation and corrosion resistance, Creep resistance under extreme conditions","Haynes International Technical Data, Special Metals Corporation Data Sheet, Journal of Materials Engineering and Performance 28:7188-7205"
,Aluminum-Lithium Alloy,Aluminum-Lithium Alloy,Al-Li-Cu,Alloy,2.561,502,405,647,155,0.875,80,0.33,172,36,22.8,4.0,6,"Reduced weight for fuel efficiency, High stiffness, Superior fatigue resistance","ASM Handbook Vol 2: Properties and Selection: Nonferrous Alloys, Journal of Materials Science 54(14):10247-10266"
,7475 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,Alloy,2.836,514,466,549,135,0.876,70.3,0.33,193,33,23.4,5.8,6,"Improved fracture toughness, High fatigue resistance, Low weight","ASM Aerospace Specification Metals Inc., MMPDS-08, Alcoa Aerospace Alloys Technical Sheet"
,D6AC Steel,Low-Alloy Ultra-High-Strength Steel,Fe-Cr-Mo-V,Alloy,7.842,1878,1782,1490,48,0.472,210,0.29,772,88,10.8,21.7,6,"High impact strength, Superior fatigue resistance, Good weldability","ASM Aerospace Specification Metals Inc.: D6AC Steel, MMPDS-08, MIL-HDBK-5J"
,Glass Fiber Reinforced Polymer,Glass Fiber Epoxy Composite,GFRP,Composite,1.859,818,714,180,0.35,0.991,26,0.28,310,8,11.0,1.0E14,9,"Lightweight with high strength, Impact resistance, Corrosion resistance","Composite Materials Handbook (CMH-17), Journal of Reinforced Plastics and Composites 39(13):468-485"
,2024 Aluminum Alloy,Aluminum-Copper Alloy,Al-Cu-Mg,Alloy,2.779,475,325,633,130,0.861,73.1,0.33,140,26,23.0,3.4,6,"High strength for structural integrity, Good fatigue resistance, Lightweight for fuel efficiency","ASM Aerospace Specification Metals Inc., MMPDS-08, MIL-HDBK-5J"
,7075 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,Alloy,2.8,522,449,630,144,0.897,71.7,0.33,159,28,23.5,5.2,6,"High strength-to-weight ratio, Good fatigue resistance, Corrosion resistance with anodizing","ASM Aerospace Specification Metals Inc., MMPDS-08, Alcoa Aerospace Alloys Technical Sheet"
,6061 Aluminum Alloy,Aluminum-Magnesium-Silicon Alloy,Al-Mg-Si,Alloy,2.709,341,284,605,159,0.919,68.9,0.33,97,29,23.6,3.7,8,"Good corrosion resistance, Moderate strength, Excellent weldability","ASM Aerospace Specification Metals Inc., MMPDS-08, Alcoa Aluminum Handbook"
,7050 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,Alloy,2.833,516,452,520,136,0.875,71.0,0.33,162,35,23.5,4.3,7,"High strength in thick sections, Good corrosion resistance, Superior fracture toughness","ASM Aerospace Specification Metals Inc., MMPDS-08, Journal of Materials Engineering and Performance 26(8):3806-3816"
,6063 Aluminum Alloy,Aluminum-Magnesium-Silicon Alloy,Al-Mg-Si,Alloy,2.691,210,171,618,202,0.932,69.5,0.33,69,25,23.4,3.3,8,"Good extrusion properties, Moderate strength, Corrosion resistance","ASM Aerospace Specification Metals Inc., Journal of Materials Research and Technology 9(3):6484-6496"
,7068 Aluminum Alloy,Aluminum-Zinc-Magnesium-Copper Alloy,Al-Zn-Mg-Cu,Alloy,2.86,641,604,584,199,0.931,73.1,0.33,207,30,23.1,4.0,6,"Highest strength aluminum alloy, Superior fatigue resistance, Corrosion resistance","Kaiser Aluminum Technical Data Sheet, Materials Science and Engineering: A 782:139228"
,2014 Aluminum Alloy,Aluminum-Copper Alloy,Al-Cu-Mg-Si,Alloy,2.815,407,300,618,154,0.872,72.4,0.33,124,22,22.5,4.0,5,"High strength, Excellent machinability, Good fatigue resistance","ASM Aerospace Specification Metals Inc., MMPDS-08, Journal of Materials Research 33(19):3060-3076"
,7055 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,Alloy,2.825,570,506,588,138,0.874,71.7,0.33,184,32,23.1,4.5,6,"Very high strength, Good fatigue resistance, Corrosion resistance","Alcoa Aerospace Alloys Technical Sheet, Materials Science and Engineering: A 546:61-69"
,7475 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,Alloy,2.848,533,453,490,136,0.896,70.3,0.33,193,35,23.4,5.9,6,"Improved fracture toughness, High fatigue resistance, Low weight","ASM Aerospace Specification Metals Inc., MMPDS-08, Alcoa Aerospace Alloys Technical Sheet"
,7079 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,Alloy,2.818,519,449,520,148,0.881,71.0,0.33,159,26,23.5,4.8,5,"High strength-to-weight ratio, Fatigue and stress resistance, Corrosion resistance","ASM Handbook Vol 2: Properties and Selection: Nonferrous Alloys, Journal of Materials Processing Technology 209(8):3999-4005"
,2219 Aluminum Alloy,Aluminum-Copper Alloy,Al-Cu,Alloy,2.854,407,293,549,121,0.882,73.1,0.33,138,35,23.0,3.6,7,"High-temperature resistance, Excellent weldability, Good strength","ASM Aerospace Specification Metals Inc., MMPDS-08, MIL-HDBK-5J"
,5052 Aluminum Alloy,Aluminum-Magnesium Alloy,Al-Mg,Alloy,2.691,230,178,624,141,0.944,70.3,0.33,115,21,23.8,4.9,9,"Excellent corrosion resistance, Good workability, Moderate strength","ASM Aerospace Specification Metals Inc., MMPDS-08, Journal of Materials Processing Technology 214(4):775-786"
,6061 Aluminum Alloy,Aluminum-Magnesium-Silicon Alloy,Al-Mg-Si,Alloy,2.714,323,290,585,158,0.904,69.0,0.33,97,29,23.6,3.7,8,"Good corrosion resistance, Moderate strength, Excellent weldability","ASM Aerospace Specification Metals Inc., MMPDS-08, Alcoa Aluminum Handbook"
,4032 Aluminum Alloy,Aluminum-Silicon Alloy,Al-Si,Alloy,2.687,389,342,587,160,0.864,79.0,0.34,110,24,19.4,5.9,7,"High wear resistance, Good thermal stability, High strength","ASM Handbook Vol 2: Properties and Selection: Nonferrous Alloys, Journal of Materials Processing Technology 209(5):2628-2636"
,7049 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,Alloy,2.803,537,440,510,137,0.892,71.7,0.33,172,28,23.4,4.6,6,"High strength, Good stress corrosion resistance, Good fatigue strength","ASM Handbook Vol 2: Properties and Selection: Nonferrous Alloys, Journal of Alloys and Compounds 740:870-878"
