Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Density (g/cm3),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Elastic Modulus (GPa),Poisson's Ratio,Fatigue Strength (MPa),Fracture Toughness (MPa·m^0.5),Coefficient of Thermal Expansion (µm/m·K),Electrical Resistivity (µΩ·cm),Corrosion Resistance (1-10),Property Overlap,Reference
,Inconel 625,Nickel-Chromium-Molybdenum-Niobium Alloy,Ni-Cr-Mo-Nb,Alloy,8.44,931,466,1350,10.6,0.41,205,0.31,345,98,12.8,132,9,"High temperature stability, Excellent corrosion resistance, Resistant to oxidizing environments","Special Metals Corporation: Inconel 625 Technical Data Sheet, ASM Specialty Handbook: Heat-Resistant Materials, Journal of Materials Science 52:12455-12468"
,Inconel 718,Nickel-Chromium-Iron Superalloy,Ni-Cr-Fe-Nb-Mo-Ti-Al,Alloy,8.19,1207,896,1336,11.4,0.435,204,0.29,380,100,13.0,125,8,"High strength at elevated temperatures, Good oxidation resistance, Excellent fatigue resistance","Special Metals Corporation: Inconel 718 Technical Data Sheet, MMPDS-08, Journal of Materials Engineering and Performance 29:1911-1919"
,Hastelloy C-276,Nickel-Molybdenum-Chromium Superalloy,Ni-Mo-Cr-Fe-W,Alloy,8.89,1395,1040,1371,9.8,0.42,211,0.307,510,115,11.2,129,10,"Exceptional corrosion resistance, Resistant to pitting and stress-corrosion cracking, Good mechanical properties in reducing environments","Haynes International: Hastelloy C-276 Alloy Technical Data, ASM Specialty Handbook: Nickel Alloys, Corrosion Science 152:324-337"
,Titanium Grade 5,Titanium-Aluminum-Vanadium Alloy,Ti-6Al-4V,Alloy,4.42,1016,948,1660,7.1,0.56,114,0.33,510,75,9.2,178,8,"Excellent strength-to-weight ratio, Good corrosion resistance, Biocompatible","ASM Aerospace Specification Metals Inc., MMPDS-08, Materials Science and Engineering: A 528(27):7850-7857"
,Stainless Steel 316,Austenitic Stainless Steel,Fe-Cr-Ni-Mo,Alloy,8.0,708,206,1398,16.2,0.50,193,0.27,245,85,16.0,74,7,"Good corrosion resistance, Non-magnetic, Good formability","ASM Specialty Handbook: Stainless Steels, ASTM A240, Journal of Materials Science and Engineering 598:140-150"
,Steel 4140,Chrome-Molybdenum Alloy Steel,Fe-0.4C-1Cr-0.2Mo,Alloy,7.85,1020,655,1416,42.6,0.473,205,0.29,425,60,12.2,22,5,"High hardenability, Good toughness, Excellent fatigue resistance","ASM Handbook Vol 1: Properties and Selection: Irons, Steels, and High-Performance Alloys, ASTM A29, Materials Science and Engineering: A 527(26):6860-6869"
,Waspaloy,Nickel-Chromium-Cobalt Superalloy,Ni-Cr-Co-Mo,Alloy,8.19,1280,820,1335,11.0,0.461,211,0.29,520,92,11.5,122,8,"High temperature strength, Good creep resistance, Good oxidation resistance","Special Metals Corporation: Waspaloy Technical Data, MMPDS-08, Superalloys: A Technical Guide (2nd Edition)"
,Titanium Grade 2,Commercially Pure Titanium,Ti-99.2%,Alloy,4.51,485,345,1668,16.4,0.523,103,0.34,300,66,8.6,56,9,"Excellent corrosion resistance, Good weldability, Lightweight","ASM Aerospace Specification Metals Inc., ASTM B265, Journal of Materials Engineering and Performance 24(5):1861-1868"
,Invar 36,Iron-Nickel Low Expansion Alloy,Fe-36Ni,Alloy,8.05,517,380,1427,10.7,0.515,141,0.29,241,65,1.3,82,6,"Extremely low thermal expansion, Dimensional stability, Good weldability","ASM Specialty Handbook: Nickel, Cobalt, and Their Alloys, ASTM F1684, Materials & Design 88:759-766"
,Haynes 188,Cobalt-Nickel-Chromium-Tungsten Alloy,Co-Ni-Cr-W,Alloy,8.98,960,470,1315,11.5,0.412,232,0.30,430,110,11.7,94,9,"Excellent high-temperature strength, Superior oxidation resistance, Good fabricability","Haynes International: Haynes 188 Technical Data, ASM Specialty Handbook: Heat-Resistant Materials, Journal of Materials Processing Technology 255:268-277"
