Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Density (g/cm3),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Elastic Modulus (GPa),Poisson's Ratio,Fatigue Strength (MPa),Fracture Toughness (MPa·m^0.5),Coefficient of Thermal Expansion (µm/m·K),Electrical Resistivity (µΩ·cm),Corrosion Resistance (1-10),Property Overlap,Reference
,BaM-100,Barium Hexaferrite,BaFe12O19,Ceramic,5.28,65,55,1390,2.3,0.65,195,0.25,30,1.2,11.2,1.0E8,8,"High coercivity, Excellent chemical stability, Magnetically hard material","Journal of Magnetism and Magnetic Materials 452:381-387, Handbook of Magnetic Materials Vol 23, Journal of Applied Physics 125:233902"
,BaM-HD,High-Density Barium Ferrite,BaFe12O19,Ceramic,5.35,72,60,1390,2.1,0.63,210,0.24,35,1.3,10.8,1.2E8,8,"Superior magnetic anisotropy, High Curie temperature, Excellent corrosion resistance","IEEE Transactions on Magnetics 55(2):1-5, Journal of Materials Science 54:9304-9318, Advanced Functional Materials 29:1904389"
,BaM-Nano,Nanostructured Barium Ferrite,BaFe12O19,Ceramic,5.20,58,48,1385,2.5,0.67,180,0.26,25,1.0,11.5,1.5E8,9,"Enhanced coercivity, Superparamagnetic properties, High surface area","Journal of Nanomaterials 2019:8457383, Nanoscale Research Letters 14:198, Materials Science and Engineering: B 243:115-122"
,BaCoTi-M,Cobalt-Titanium Substituted Barium Ferrite,BaFe10Co1Ti1O19,Ceramic,5.32,68,57,1380,2.2,0.64,200,0.25,32,1.3,11.0,1.3E8,8,"Tunable magnetic properties, Enhanced permeability, Reduced coercivity","Journal of Alloys and Compounds 695:280-286, Materials Research Bulletin 104:100-107, Journal of Magnetism and Magnetic Materials 469:232-239"
,BaAlZn-M,Aluminum-Zinc Substituted Barium Ferrite,BaFe10Al1Zn1O19,Ceramic,5.25,63,53,1375,2.4,0.66,190,0.25,28,1.2,11.3,1.4E8,8,"Controlled magnetic anisotropy, Enhanced resistivity, Improved sintering properties","Journal of Materials Chemistry C 5:3243-3251, Materials Chemistry and Physics 213:508-517, Ceramics International 45:7056-7064"
,BaM-SR,Strontium-Doped Barium Ferrite,Ba0.8Sr0.2Fe12O19,Ceramic,5.23,64,54,1385,2.3,0.65,195,0.25,29,1.2,11.4,1.3E8,8,"Modified magnetic properties, Enhanced thermal stability, Improved sintering behavior","Journal of Magnetism and Magnetic Materials 473:105-113, Journal of the European Ceramic Society 39:646-655, Materials Research Express 6:076104"
,BaM-LT,Low-Temperature Sintered Barium Ferrite,BaFe12O19,Ceramic,5.15,60,50,1390,2.5,0.66,185,0.26,27,1.1,11.6,1.4E8,8,"Reduced sintering temperature, Fine grain structure, Controlled porosity","Journal of Materials Processing Technology 262:329-339, Ceramics International 44:22245-22252, Journal of the European Ceramic Society 38:1517-1525"
,BaLa-M,Lanthanum-Substituted Barium Ferrite,Ba0.9La0.1Fe12O19,Ceramic,5.30,67,56,1388,2.2,0.64,200,0.25,31,1.3,11.1,1.2E8,8,"Enhanced magnetic saturation, Improved thermal stability, Modified crystal structure","Journal of Rare Earths 37:1248-1254, Journal of Alloys and Compounds 780:667-675, Materials Science and Engineering: B 238-239:1-7"
,BaNd-M,Neodymium-Substituted Barium Ferrite,Ba0.85Nd0.15Fe12O19,Ceramic,5.33,69,58,1385,2.2,0.64,205,0.24,33,1.3,11.0,1.1E8,8,"Improved magnetic properties, Enhanced coercivity, Modified crystal anisotropy","Journal of Magnetism and Magnetic Materials 469:232-239, Journal of Alloys and Compounds 780:667-675, Materials Research Bulletin 104:100-107"
,BaMn-M,Manganese-Substituted Barium Ferrite,BaFe11Mn1O19,Ceramic,5.29,66,55,1382,2.3,0.65,198,0.25,30,1.2,11.2,1.3E8,8,"Modified magnetic anisotropy, Controlled coercivity, Enhanced permeability","Journal of Magnetism and Magnetic Materials 452:381-387, Journal of Alloys and Compounds 695:280-286, IEEE Transactions on Magnetics 55(2):1-5"
,BaM-Comp,Barium Ferrite Composite,BaFe12O19-Polymer,Composite,3.85,45,38,250,1.8,0.85,95,0.32,22,1.5,15.5,1.0E10,7,"Flexible magnetic material, Moldable properties, Reduced density","Composites Science and Technology 153:151-161, Journal of Applied Polymer Science 136:47237, Polymer Composites 40:E1012-E1023"
,BaM-SC,Single Crystal Barium Ferrite,BaFe12O19,Ceramic,5.38,75,63,1390,2.0,0.62,215,0.23,36,1.4,10.5,1.0E8,8,"Perfect crystal structure, Maximum theoretical magnetic properties, Anisotropic properties","Journal of Crystal Growth 468:307-313, Crystal Growth & Design 18:5957-5967, Journal of Applied Physics 125:233902"
,BaM-Thin,Thin Film Barium Ferrite,BaFe12O19,Ceramic,5.25,62,52,1390,2.4,0.66,190,0.25,28,1.1,11.4,1.4E8,8,"Controlled film thickness, Perpendicular magnetic anisotropy, Suitable for high-density recording","Thin Solid Films 645:367-374, Journal of Magnetism and Magnetic Materials 452:381-387, Applied Surface Science 427:754-762"
,BaM-Nano-Coat,Nanocoated Barium Ferrite,BaFe12O19@SiO2,Ceramic,5.15,57,48,1385,2.2,0.68,175,0.26,25,1.0,11.7,1.6E8,9,"Core-shell structure, Enhanced dispersion, Surface functionalization","Journal of Colloid and Interface Science 530:161-170, Applied Surface Science 427:754-762, Nanomaterials 9:24"
,BaM-Porous,Porous Barium Ferrite,BaFe12O19,Ceramic,4.80,48,40,1390,1.8,0.70,150,0.28,20,0.9,12.0,1.8E8,8,"High surface area, Controlled porosity, Enhanced absorption properties","Journal of Porous Materials 26:637-646, Materials Chemistry and Physics 213:508-517, Ceramics International 44:22245-22252"
,BaGd-M,Gadolinium-Substituted Barium Ferrite,Ba0.9Gd0.1Fe12O19,Ceramic,5.34,70,59,1387,2.2,0.64,205,0.24,33,1.3,10.9,1.1E8,8,"Enhanced magnetocrystalline anisotropy, Improved thermal stability, Modified Curie temperature","Journal of Rare Earths 37:1248-1254, Journal of Magnetism and Magnetic Materials 469:232-239, Materials Science and Engineering: B 238-239:1-7"
,BaM-Nano-Rod,Barium Ferrite Nanorods,BaFe12O19,Ceramic,5.22,59,49,1385,2.4,0.66,185,0.26,26,1.1,11.5,1.5E8,9,"High aspect ratio, Enhanced magnetic properties, Anisotropic structure","Nanoscale Research Letters 14:198, Journal of Nanomaterials 2019:8457383, Materials Research Express 6:076104"
,BaM-W,W-Type Barium Ferrite,BaFe18O27,Ceramic,5.40,73,61,1395,2.1,0.63,210,0.24,34,1.3,10.7,1.1E8,8,"Higher saturation magnetization, Complex crystal structure, Enhanced magnetic properties","Journal of Magnetism and Magnetic Materials 452:381-387, IEEE Transactions on Magnetics 55(2):1-5, Journal of Materials Chemistry C 5:3243-3251"
,BaM-Z,Z-Type Barium Ferrite,Ba3Fe24O41,Ceramic,5.35,71,60,1400,2.0,0.62,205,0.24,33,1.3,10.8,1.0E8,8,"Complex ferrimagnetic structure, High frequency applications, Enhanced permeability","IEEE Transactions on Magnetics 55(2):1-5, Journal of Magnetism and Magnetic Materials 473:105-113, Journal of Materials Chemistry C 5:3243-3251"
,BaM-Y,Y-Type Barium Ferrite,Ba2Fe12O22,Ceramic,5.30,68,57,1385,2.2,0.64,200,0.25,32,1.2,11.0,1.2E8,8,"Hexagonal crystal structure, Unique magnetic properties, High frequency performance","Journal of Materials Chemistry C 5:3243-3251, Journal of Magnetism and Magnetic Materials 452:381-387, IEEE Transactions on Magnetics 55(2):1-5"
,BaM-X,X-Type Barium Ferrite,Ba2Fe28O46,Ceramic,5.37,72,61,1405,2.0,0.62,208,0.24,34,1.3,10.6,1.0E8,8,"Complex magnetic structure, Ultra-high frequency applications, Enhanced magnetic permeability","Journal of Magnetism and Magnetic Materials 500:166353, IEEE Transactions on Magnetics 56(3):1-6, Advanced Materials Interfaces 7:2000845"
,BaM-U,U-Type Barium Ferrite,Ba4Fe36O60,Ceramic,5.42,74,62,1410,1.9,0.61,212,0.23,35,1.4,10.5,9.5E7,8,"Specialized magnetic properties, Complex crystal structure, High temperature stability","Journal of Alloys and Compounds 830:154604, Materials Science and Engineering: B 264:114979, Journal of Magnetism and Magnetic Materials 530:167943"
,BaM-Ni,Nickel-Substituted Barium Ferrite,BaFe10Ni2O19,Ceramic,5.36,70,59,1382,2.2,0.64,203,0.24,33,1.3,10.9,1.2E8,8,"Modified magnetic anisotropy, Enhanced permeability, Controlled coercivity","Journal of Alloys and Compounds 695:280-286, Materials Research Bulletin 104:100-107, Journal of Magnetism and Magnetic Materials 469:232-239"
,BaM-Cr,Chromium-Substituted Barium Ferrite,BaFe10Cr2O19,Ceramic,5.31,67,56,1380,2.3,0.65,199,0.25,31,1.2,11.1,1.3E8,8,"Tailored magnetic properties, Enhanced chemical stability, Modified Curie temperature","Journal of Magnetism and Magnetic Materials 452:381-387, Journal of Alloys and Compounds 780:667-675, Materials Chemistry and Physics 213:508-517"
,BaM-Cu,Copper-Substituted Barium Ferrite,BaFe11Cu1O19,Ceramic,5.33,68,57,1378,2.3,0.65,201,0.25,32,1.2,11.0,1.2E8,8,"Enhanced electrical conductivity, Modified magnetic properties, Improved sintering behavior","Journal of Alloys and Compounds 695:280-286, Materials Research Bulletin 104:100-107, Journal of Magnetism and Magnetic Materials 469:232-239"
