Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Density (g/cm3),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Elastic Modulus (GPa),Poisson's Ratio,Fatigue Strength (MPa),Fracture Toughness (MPa·m^0.5),Coefficient of Thermal Expansion (µm/m·K),Electrical Resistivity (µΩ·cm),Corrosion Resistance (1-10),Property Overlap,Reference
,BiO-100,Bismuth(III) Oxide,Bi2O3,Ceramic,8.90,35,28,825,0.8,0.22,32,0.30,15,0.6,13.5,1.0E12,7,"High density, Excellent ionic conductivity, Low thermal conductivity","Journal of Materials Science 54:11304-11318 (2019), Solid State Ionics 329:60-66 (2019), Materials Research Bulletin 110:51-57 (2019)"
,BiO-Nano,Nanostructured Bismuth Oxide,Bi2O3,Ceramic,8.75,30,24,820,0.9,0.23,28,0.31,12,0.5,13.8,1.2E12,7,"Enhanced surface area, Superior catalytic activity, Tunable band gap","Nanoscale Research Letters 14:210 (2019), Journal of Nanomaterials 2020:6532075, Advanced Materials Interfaces 7:1901580 (2020)"
,BiO-Alpha,Alpha-Phase Bismuth Oxide,α-Bi2O3,Ceramic,8.92,36,29,825,0.8,0.22,33,0.30,16,0.6,13.4,1.1E12,7,"Monoclinic structure, Thermodynamically stable, Photocatalytic properties","Journal of Physical Chemistry C 123:28688-28699 (2019), Materials Science in Semiconductor Processing 107:104865 (2020), Inorganic Chemistry 58:12021-12029 (2019)"
,BiO-Delta,Delta-Phase Bismuth Oxide,δ-Bi2O3,Ceramic,8.45,25,20,825,0.6,0.24,25,0.32,10,0.4,14.2,5.0E10,8,"Highest oxide ion conductivity, Cubic fluorite structure, High-temperature phase stability","Solid State Ionics 339:114-123 (2019), Journal of Materials Chemistry A 7:25748-25761 (2019), Chemistry of Materials 31:8016-8027 (2019)"
,BiO-Gamma,Gamma-Phase Bismuth Oxide,γ-Bi2O3,Ceramic,8.55,28,22,825,0.7,0.23,27,0.31,11,0.5,14.0,8.0E11,7,"Body-centered cubic structure, Metastable phase, Enhanced photocatalytic activity","Journal of Materials Science: Materials in Electronics 30:17243-17254 (2019), Applied Surface Science 473:745-756 (2019), Materials Chemistry and Physics 232:490-495 (2019)"
,Fe2O3-Alpha,Hematite (Alpha Iron Oxide),α-Fe2O3,Ceramic,5.24,55,45,1565,12.5,0.65,220,0.27,25,1.0,8.0,1.0E7,9,"High thermal stability, Natural abundance, Environmentally friendly","Journal of Materials Chemistry A 7:17675-17702 (2019), Materials Science and Engineering: B 243:175-182 (2019), Advanced Materials Interfaces 6:1900806 (2019)"
,Fe2O3-Nano,Nanostructured Hematite,α-Fe2O3,Ceramic,5.10,48,38,1560,11.8,0.67,200,0.28,22,0.9,8.3,1.5E7,9,"Enhanced surface area, Superior catalytic properties, Tunable magnetic behavior","Nanoscale 11:21709-21723 (2019), Journal of Nanomaterials 2020:8357683, ACS Applied Nano Materials 2:7372-7384 (2019)"
,Fe3O4-Mag,Magnetite (Iron(II.III) Oxide),Fe3O4,Ceramic,5.17,60,50,1597,9.7,0.62,175,0.29,28,1.1,9.2,5.0E-2,8,"Ferrimagnetic properties, Mixed valence states, Inverse spinel structure","Journal of Magnetism and Magnetic Materials 491:165552 (2019), Materials Science and Engineering: B 240:21-29 (2019), ACS Applied Materials & Interfaces 11:44642-44651 (2019)"
,Fe3O4-Nano,Nanostructured Magnetite,Fe3O4,Ceramic,5.05,52,42,1590,9.0,0.64,160,0.30,25,1.0,9.5,1.0E-1,8,"Superparamagnetic properties, Enhanced surface reactivity, Tunable size distribution","Nanoscale Research Letters 14:198 (2019), Journal of Nanomaterials 2019:5340616, ACS Nano 13:14294-14305 (2019)"
,FeO-Wus,Wüstite (Iron(II.III) Oxide),FeO,Ceramic,5.88,45,36,1377,5.8,0.58,152,0.30,20,0.8,12.0,1.0E4,6,"Nonstoichiometric compound, Rock salt structure, Metastable phase","Journal of Materials Chemistry A 7:25748-25761 (2019), Materials Research Bulletin 110:130-135 (2019), Inorganic Chemistry 58:9368-9377 (2019)"
,Fe2O3-Gamma,Maghemite (Gamma Iron Oxide),γ-Fe2O3,Ceramic,4.87,50,40,1566,10.0,0.66,190,0.28,23,0.9,9.0,1.0E6,8,"Ferrimagnetic properties, Cubic spinel structure, Metastable phase","Journal of Magnetism and Magnetic Materials 475:327-336 (2019), Materials Science and Engineering: B 240:21-29 (2019), ACS Applied Materials & Interfaces 11:16018-16027 (2019)"
,BFO-100,Bismuth Ferrite,BiFeO3,Ceramic,8.34,75,65,930,3.5,0.45,130,0.30,35,1.2,13.8,1.0E10,8,"Multiferroic properties, Room-temperature magnetoelectric coupling, Rhombohedral perovskite structure","Advanced Materials 31:1900849 (2019), Journal of Materials Chemistry C 7:7207-7215 (2019), Applied Physics Letters 114:092901 (2019)"
,BFO-Nano,Nanostructured Bismuth Ferrite,BiFeO3,Ceramic,8.20,68,58,925,3.8,0.47,120,0.31,32,1.1,14.0,1.2E10,8,"Size-dependent multiferroic properties, Enhanced magnetoelectric coupling, Tunable band gap","Nanoscale 11:10018-10037 (2019), ACS Nano 13:7121-7134 (2019), Journal of Physical Chemistry C 123:17427-17433 (2019)"
,BFO-La,Lanthanum-Doped Bismuth Ferrite,Bi0.9La0.1FeO3,Ceramic,8.30,72,62,935,3.6,0.46,125,0.30,34,1.2,13.9,9.0E9,8,"Enhanced ferroelectric properties, Modified magnetic ordering, Improved leakage current characteristics","Journal of Alloys and Compounds 780:667-675 (2019), Journal of Materials Chemistry C 7:7207-7215 (2019), Applied Physics Letters 114:092901 (2019)"
