Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Density (g/cm3),Energy Density (Wh/kg),Voltage (V),Cycle Life (cycles),Ionic Conductivity (S/cm),Fast Charging (C rate),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Thermal Stability (C),Crystal System,Recyclability Index (%),Property Overlap,Reference
mp-4537432,LCO,Lithium Cobalt Oxide,LiCoO2,Battery Material,5.1,150.0,3.7,500.0,0.001,1.0,,,916,4.5,0.75,150.0,Hexagonal,65,"High energy density, excellent rate capability, stable discharge voltage",Journal of Power Sources 195 (2010) 2419-2430
mp-9781627,LFP,Lithium Iron Phosphate,LiFePO4,Battery Material,3.6,140.0,3.2,2000.0,0.0015,3.0,,,950,2.7,0.95,250.0,Orthorhombic,90,"High thermal stability, excellent cycle life, environmentally friendly",J. Electrochem. Soc. 144 (1997) 1188-1194
mp-6612426,NMC,Lithium Nickel Manganese Cobalt Oxide,Li(NiMnCo)O2,Battery Material,4.7,180.0,3.6,1000.0,0.0012,2.5,,,890,3.5,0.85,200.0,Hexagonal,75,"High energy density, good thermal stability, balanced properties",Advanced Energy Materials 8 (2018) 1702485
mp-5389555,LAA,Lithium-Aluminum Alloy,Li-Al alloys,Alloy,2.7,150.0,0.3,500.0,0.0008,1.5,165,120,660,228,0.9,200.0,Cubic,80,"Good electrical conductivity, high theoretical capacity, improved cycling stability",Journal of Alloys and Compounds 590 (2014) 279-286
mp-3388957,Lithia,Lithium Oxide,Li2O,Ceramic,2.01,,3.65,750,0.0011,0.5,45,25,1570,14.5,1.8,150.0,Cubic,55,"Ionic conduction, high melting point, chemical stability at high temperatures",Journal of Solid State Chemistry 178 (2005) 2575-2585
mp-5571932,LMS,Lithium Metasilicate,Li2SiO3,Ceramic,2.52,,3.65,750,0.0012,0.5,70,45,1201,1.7,1.3,150.0,Orthorhombic,70,"Lowers melting point of glass, increases fluidity, improves thermal properties",Journal of Non-Crystalline Solids 357 (2011) 3251-3264
mp-6402788,LAS,Lithium Aluminosilicate,LiAlSiO4,Ceramic,2.38,,3.65,750,0.0013,0.3,85,60,1432,2.5,1.05,150.0,Hexagonal,65,"Near-zero thermal expansion, excellent thermal shock resistance, high mechanical strength",Journal of the European Ceramic Society 35 (2015) 1495-1502
mp-2600222,LiOH,Lithium Hydroxide,LiOH,Battery Precursor,1.46,,,,1.5x10^3,,,23,471,2.21,1.53,250.0,Tetragonal,85,"Water resistance, high temperature stability, excellent lubricating properties",Industrial & Engineering Chemistry Research 51 (2012) 8973-8979
mp-5945853,Li2CO3,Lithium Carbonate,Li2CO3,Battery Precursor,2.11,N/A,3.0,500,0.0009,0.2,38,22,723,1.3,1.22,300.0,Monoclinic,80,"Multi-application material: pharmaceutical (mood-stabilizing medication with narrow therapeutic window), battery manufacturing (high-purity precursor for cathode materials), medical applications (bipolar disorder treatment); purity levels and trace elements differentiate grades",Journal of Power Sources 228 (2013) 137-145; Journal of Clinical Psychiatry 79 (2018) 15-23; American Journal of Psychiatry 175 (2018) 1054-1064
mp-7809265,LiNi0.8Co0.15Al0.05O2 (NCA),Lithium Nickel Cobalt Aluminum Oxide,LiNi0.8Co0.15Al0.05O2,Battery Material,4.85,200.0,3.8,1200.0,0.0013,2.0,82,65,880,5.2,0.84,180.0,Hexagonal,72,"Higher energy density than LCO, improved thermal stability, superior specific capacity",Journal of The Electrochemical Society 166 (2019) A429-A438
mp-3487721,LLZO,Lithium Lanthanum Zirconate,Li7La3Zr2O12,Ceramic,5.1,,3.9,3500,0.0003,0.5,110,95,1200,1.8,0.65,850.0,Cubic,82,"Superior ionic conductivity at room temperature, excellent chemical stability, dendrite suppression capabilities",Nature Materials 15 (2016) 173-177
mp-9445328,LTO (Li4Ti5O12),Lithium Titanate,Li4Ti5O12,Battery Material,3.5,80.0,1.55,10000.0,0.0009,10.0,125,105,1250,2.3,0.79,300.0,Cubic,95,"Exceptional cycling stability, zero-strain insertion material, high rate capability",Advanced Energy Materials 8 (2018) 1800561
mp-8277564,LGPS,Lithium Germanium Phosphorus Sulfide,Li10GeP2S12,Ceramic,2.32,,2.2,800,0.012,2.0,25,18,650,0.4,0.62,180.0,Tetragonal,65,"Highest room-temperature ionic conductivity, excellent potential for solid-state batteries, unstable with Li metal",Nature Materials 10 (2011) 682-686
mp-7219634,Li3PS4,Lithium Thiophosphate,Li3PS4,Ceramic,1.86,,2.0,650,0.002,1.0,20,15,530,0.3,0.71,130.0,Orthorhombic,60,"High ionic conductivity, facile synthesis, requires moisture protection",Energy & Environmental Science 6 (2013) 2888-2904
mp-6423791,Lithium Metal,Elemental Lithium,Li,Element,0.534,,0.0,250,0.108,0.2,105,55,180.5,84.8,3.57,250.0,Body-Centered Cubic,40,"Highest theoretical capacity, severe dendrite formation, ultimate energy density potential",Nature Energy 4 (2019) 180-186
mp-5390546,Lithium Titanate LTO-NP,Nanostructured Lithium Titanate,Li4Ti5O12,Battery Material,3.47,75.0,1.55,15000.0,0.0009,30.0,130,110,1250,2.3,0.81,310.0,Cubic,90,"Ultra-fast charging capability (3x faster than standard LTO), minimal volume expansion, excellent safety characteristics, enhanced surface area",Nano Energy 55 (2019) 93-103
mp-9851272,LLTO,Lithium Lanthanum Titanate,Li3xLa(2/3)-xTiO3,Ceramic,5.06,,3.3,900,0.001,0.5,95,80,1485,1.1,0.58,600.0,Tetragonal,70,"High bulk ionic conductivity, poor grain boundary conductivity, stable with oxide cathodes",Journal of Power Sources 248 (2014) 943-950
mp-7744838,LiClO4 battery electrolyte salt,Lithium Perchlorate,LiClO4,Battery Material,2.42,,5.1,400,0.009,1.0,,,236,0.5,0.9,150.0,Monoclinic,65,"Wide electrochemical window, high oxidation stability, thermal hazard concerns",Journal of The Electrochemical Society 164 (2017) A6220-A6228
mp-4453989,LSP,Lithium Aluminum Germanium Phosphate,Li1.5Al0.5Ge1.5(PO4)3,Ceramic,3.56,,4.0,1500,0.0005,0.8,145,120,1250,1.2,0.75,350.0,Rhombohedral,75,"High chemical stability, compatible with air, strong mechanical properties",Journal of Materials Chemistry A 7 (2019) 20860-20870
mp-8854713,LMFP,Lithium Manganese Iron Phosphate,LiMn0.5Fe0.5PO4,Battery Material,3.45,160.0,3.4,1800.0,0.0016,2.8,,,920,2.9,0.90,230.0,Orthorhombic,85,"Higher energy density than LFP, maintains thermal stability, high voltage plateau",Nature Communications 11 (2020) 2310
mp-6723152,Li2S,Lithium Sulfide,Li2S,Battery Material,1.66,425.0,2.15,900.0,0.020,3.5,15,10,938,0.5,2.20,300.0,Cubic,60,"Ultra-high theoretical capacity (1166 mAh/g), high energy density potential, used in Li-S batteries",Energy & Environmental Science 10 (2017) 1568-1578
mp-9348271,SiC-Si,Silicon Carbide-Coated Silicon,SiC-Si,Battery Material,2.33,210.0,0.05,800.0,0.006,43.0,150,130,1414,150,1.75,350.0,Cubic,75,"High capacity anode material (3580 mAh/g), improved cycling stability vs pure Si, volume change mitigation",ACS Applied Materials & Interfaces 12 (2020) 37172-37182
mp-8726901,Sn-C,Tin-Carbon Composite,Sn-C,Battery Material,5.77,175.0,0.2,650.0,0.015,25.0,,,232,73,1.40,280.0,Tetragonal,68,"High theoretical capacity (994 mAh/g), better volume expansion control than pure Sn, improved cycle life",Advanced Materials 28 (2016) 9385-9390
mp-5712684,PVDF-HFP,Polyvinylidene Fluoride-Hexafluoropropylene,-(CH2CF2)n-(CF2CF(CF3))m-,Battery Material,1.78,,6.1,8000,1.0×10^-14,0.38,,,160,-0.5,1.41,48.0,Semi-crystalline,92,"High-performance separator/polymer electrolyte host, excellent mechanical properties, wide electrochemical stability window",Journal of Membrane Science 503 (2016) 91-100
mp-5638942,PEO-LiTFSI,Polyethylene Oxide with Lithium Bis(trifluoromethanesulfonyl)imide,-(CH2CH2O)n-·LiN(SO2CF3)2,Battery Material,1.20,,5.5,3000,7.2×10^-4,0.25,25,15,65,-1.8,1.46,27.0,Semi-crystalline,88,"Solid polymer electrolyte, high ionic conductivity at elevated temperatures, excellent interfacial stability",Macromolecules 53 (2020) 10179-10193
mp-9127345,LiVPO4F,Lithium Vanadium Phosphate Fluoride,LiVPO4F,Battery Material,3.62,155.0,4.1,1200.0,0.0013,1.8,,,1350,4.7,0.80,220.0,Triclinic,75,"High operating voltage, excellent thermal stability, multi-electron redox activity",Chemistry of Materials 32 (2020) 3836-3846
mp-7638151,Li3V2(PO4)3,Lithium Vanadium Phosphate,Li3V2(PO4)3,Battery Material,2.91,175.0,3.8,1500.0,0.0012,2.2,90,75,450,3.1,0.85,210.0,Monoclinic,78,"Multi-electron transfer capability, high energy density, excellent rate capability",Journal of Power Sources 385 (2018) 18-28
mp-5490327,LiNi0.5Mn1.5O4,Lithium Nickel Manganese Oxide,LiNi0.5Mn1.5O4,Battery Material,4.56,140.0,4.7,500.0,0.001,0.6,98,85,1000,2.1,0.83,170.0,Cubic,72,"High voltage cathode (4.7V), excellent rate capability, low-cost alternative to LCO",ACS Applied Materials & Interfaces 12 (2020) 4731-4740
mp-6813267,LiBOB,Lithium Bis(oxalato)borate,LiB(C2O4)2,Battery Material,1.40,,4.5,1200,0.007,1.2,,,250,0.3,0.86,95.0,Monoclinic,82,"Non-fluorinated electrolyte salt, improved thermal stability and electrode passivation, safer alternative to LiPF6",Electrochimica Acta 299 (2019) 51-62
mp-7825413,LLZTO,Lithium Lanthanum Zirconate with Ta-doping,Li7La3Zr1.75Ta0.25O12,Ceramic,5.4,,6.0,5000,0.0015,1.0,120,100,1300,1.5,0.63,900.0,Cubic,80,"Enhanced ionic conductivity over LLZO, suppressed lithium dendrite growth, superior mechanical properties",Advanced Energy Materials 10 (2020) 2000201
mp-9634157,Li-Sn,Lithium-Tin Alloy,Li4.4Sn,Alloy,2.56,425.0,0.38,300.0,0.005,2.0,145,105,765,64.0,0.28,330.0,Orthorhombic,62,"Ultra-high theoretical capacity (994 mAh/g), low operating voltage, superior energy density to lithium graphite",Advanced Materials 32 (2020) 2004168
mp-8726139,LAGP,Lithium Aluminum Germanium Phosphate,Li1.5Al0.5Ge1.5(PO4)3,Ceramic,3.43,,5.0,2000,0.0035,0.9,165,140,1200,0.9,0.82,600.0,Rhombohedral,78,"High ionic conductivity solid electrolyte, air-stable, compatible with high-voltage cathodes",Energy Storage Materials 24 (2020) 379-390
mp-5723691,Li-B,Lithium Boride,LiB,Battery Material,2.37,,0.15,450,0.002,10.0,95,75,1370,56.0,0.93,280.0,Tetragonal,55,"Theoretical capacity of 1602 mAh/g, low volume expansion, stable amorphous structure formation",Nature Communications 12 (2021) 631
mp-9283471,G-Si,Graphene-Encapsulated Silicon,G-Si,Battery Material,2.20,680.0,0.12,800,0.008,15.0,60,45,1414,148.0,0.70,400.0,Amorphous,72,"Ultra-high capacity (>2000 mAh/g), exceptional electronic conductivity, stabilized SEI formation",Advanced Materials 33 (2021) 2007795
