Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Ultramid® B3S,Polyamide 6 (PA6),(C6H11NO)n,Polymer,120,80,50,150,1.13,21.0,3000,5.0,2.6,26.0,"High mechanical strength, excellent impact resistance, good chemical resistance, dimensional stability",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultramid.html
,Ultramid® A3W,Polyamide 66 (PA66),(C12H22N2O2)n,Polymer,125,85,45,170,1.14,15.0,3200,5.5,1.9,25.0,"Excellent mechanical properties, high temperature resistance, good abrasion resistance, dimensional stability",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultramid.html
,Ultramid® C3U,Polyamide 6/66 (PA6/66),(C6H11NO C12H22N2O2)n,Polymer,123,82,35,160,1.13,17.0,2900,5.2,2.2,25.5,"Good surface quality, excellent mechanical properties, heat aging resistance, dimensional stability",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultramid.html
,Ultramid® B3ZG6,Polyamide 6 with 30% Glass Fiber,(C6H11NO)n,Polymer,128,180,3,200,1.36,4.0,9000,8.5,1.6,18.0,"High rigidity, excellent creep resistance, dimensional stability, heat resistance",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultramid.html
,Ultramid® Advanced N,Polyphthalamide (PPA),(C14H16N2O2)n,Polymer,130,190,1,230,1.42,6.0,10000,6.0,0.6,20.0,"Superior heat resistance, excellent chemical resistance, high dimensional stability, low moisture absorption",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultramid_advanced.html
,Ultramid® SI,Polyamide for Solar Industry,(C6H11NO)n,Polymer,126,75,15,160,1.15,15.0,3100,6.5,2.0,24.0,"UV resistance, outdoor weatherability, flame retardant, good mechanical stability",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultramid.html
,Ultramid® Balance,Bio-based Polyamide,(C6H11NO)n,Polymer,121,78,30,155,1.07,19.0,2800,7.0,2.3,25.0,"Renewable content, reduced carbon footprint, good mechanical properties, dimensional stability",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultramid.html
,Ultraform® N2320,Polyoxymethylene (POM),(CH2O)n,Polymer,122,65,35,100,1.41,9.0,2900,6.0,0.22,20.0,"High stiffness, excellent dimensional stability, good resilience, fatigue resistance",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultraform.html
,Ultraform® S2320,Polyoxymethylene (POM),(CH2O)n,Polymer,124,67,30,110,1.42,8.0,3000,5.5,0.20,20.5,"High stiffness, excellent chemical resistance, good dimensional stability, low friction",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultraform.html
,Ultraform® H2320,Polyoxymethylene (POM),(CH2O)n,Polymer,120,62,40,105,1.40,10.0,2800,6.5,0.25,19.5,"Good flow properties, high stiffness, dimensional stability, good surface quality",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultraform.html
,Ultradur® B4520,Polybutylene Terephthalate (PBT),(C12H12O4)n,Polymer,124,55,25,150,1.30,20.0,2700,3.5,0.08,16.0,"Excellent dimensional stability, good electrical properties, chemical resistance, hydrolysis resistance",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultradur.html
,Ultradur® B4300 G6,PBT with 30% Glass Fiber,(C12H12O4)n,Polymer,128,130,2,200,1.53,7.0,9500,5.5,0.05,17.0,"High stiffness, excellent dimensional stability, good electrical properties, low warpage",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultradur.html
,Ultradur® B4450 G5,PBT-ASA Blend,(C12H12O4 C8H8 C4H6)n,Polymer,125,110,3,140,1.38,11.0,6800,12.0,0.15,15.5,"UV resistance, excellent surface quality, good dimensional stability, impact resistance",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultradur.html
,Ultradur® HR,Hydrolysis-Resistant PBT,(C12H12O4)n,Polymer,123,56,20,160,1.31,18.0,2750,4.0,0.07,16.5,"Superior hydrolysis resistance, good dimensional stability, excellent electrical properties",https://plastics-rubber.basf.com/global/en/performance_polymers/products/ultradur.html
,Terblend® N,ABS/PA Blend,(C8H8 C4H6 C3H3N C6H11NO)n,Polymer,115,50,30,110,1.06,15.0,2200,25.0,0.4,17.0,"Excellent impact-stiffness balance, good chemical resistance, high surface quality",https://plastics-rubber.basf.com/global/en/performance_polymers/products/terblend.html
,Terblend® S,ASA/PC Blend,(C8H8 C4H6 C16H14O3)n,Polymer,117,55,20,120,1.11,12.0,2400,30.0,0.3,16.0,"Superior UV stability, excellent surface quality, good dimensional stability, heat resistance",https://plastics-rubber.basf.com/global/en/performance_polymers/products/terblend.html
,Terluran® GP-22,ABS,(C8H8 C4H6 C3H3N)n,Polymer,105,45,20,95,1.04,21.0,2300,20.0,0.3,16.0,"Good impact-stiffness balance, excellent surface quality, good processability",https://plastics-rubber.basf.com/global/en/performance_polymers/products/terluran.html
,Terluran® HH-106,High Heat ABS,(C8H8 C4H6 C3H3N)n,Polymer,110,50,15,105,1.06,15.0,2500,18.0,0.3,16.5,"High heat resistance, good surface quality, excellent mechanical properties, good dimensional stability",https://plastics-rubber.basf.com/global/en/performance_polymers/products/terluran.html
,Terluran® HI-10,High Impact ABS,(C8H8 C4H6 C3H3N)n,Polymer,100,40,50,80,1.03,14.0,1800,35.0,0.4,15.5,"Superior impact resistance, good surface quality, excellent processability",https://plastics-rubber.basf.com/global/en/performance_polymers/products/terluran.html
,Luran® S 778T,ASA,(C8H8 C4H6)n,Polymer,108,48,15,100,1.07,18.0,2200,13.0,0.3,17.0,"Excellent UV resistance, high surface quality, good impact resistance, weathering resistance",https://plastics-rubber.basf.com/global/en/performance_polymers/products/luran_s.html
,Luran® S 797S,ASA/PC Blend,(C8H8 C4H6 C16H14O3)n,Polymer,115,53,20,115,1.10,15.0,2500,15.0,0.25,17.5,"Superior heat resistance, excellent UV stability, high impact resistance, good surface quality",https://plastics-rubber.basf.com/global/en/performance_polymers/products/luran_s.html
