Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Hostaform® C 9021,Polyoxymethylene (POM),(CH2O)n,Polymer,125,66,35,110,1.41,9.0,2800,5.5,0.22,20.0,"Excellent mechanical strength, good dimensional stability, chemical resistance, fatigue resistance",https://www.celanese.com/products/hostaform-pom
,Hostaform® C 13021,Polyoxymethylene (POM),(CH2O)n,Polymer,127,68,30,115,1.42,6.0,2900,5.0,0.20,20.5,"High viscosity, superior mechanical properties, excellent dimensional stability, chemical resistance",https://www.celanese.com/products/hostaform-pom
,Hostaform® C 27021,Polyoxymethylene (POM),(CH2O)n,Polymer,126,67,32,112,1.41,8.0,2850,5.2,0.21,20.0,"Medium viscosity, excellent mechanical properties, good dimensional stability, chemical resistance",https://www.celanese.com/products/hostaform-pom
,Hostaform® C 9021 GV1/30,POM with 30% Glass Fiber,(CH2O)n,Polymer,130,140,3,150,1.61,3.5,7500,4.0,0.18,18.0,"Superior stiffness, excellent dimensional stability, low creep, good thermal properties",https://www.celanese.com/products/hostaform-pom
,Hostaform® S 27072 WS,Polyoxymethylene (POM),(CH2O)n,Polymer,122,60,50,100,1.39,10.0,2600,6.0,0.24,19.5,"Low friction, excellent wear resistance, good mechanical strength, chemical resistance",https://www.celanese.com/products/hostaform-pom
,Hostaform® MT® 8U02,Medical-Grade POM,(CH2O)n,Polymer,123,65,30,105,1.41,8.5,2750,5.3,0.22,20.0,"Medical grade, biocompatible, excellent dimensional stability, good chemical resistance",https://www.celanese.com/products/hostaform-pom
,Hostaform® SlideX™,Self-Lubricating POM,(CH2O)n,Polymer,120,62,35,105,1.38,9.5,2700,5.8,0.23,19.0,"Ultra-low friction, excellent wear resistance, good mechanical properties, dimensional stability",https://www.celanese.com/products/hostaform-pom
,Hostaform® EC140XF,Electrically Conductive POM,(CH2O)n,Polymer,124,58,20,110,1.45,7.0,2650,4.8,0.21,,"Electrostatic dissipation, good mechanical properties, excellent dimensional stability",https://www.celanese.com/products/hostaform-pom
,Celcon® M90,Polyoxymethylene (POM),(CH2O)n,Polymer,123,63,40,105,1.41,9.0,2750,5.5,0.22,20.0,"Good flow, excellent mechanical properties, dimensional stability, chemical resistance",https://www.celanese.com/products/celcon-pom
,Celcon® M25,Polyoxymethylene (POM),(CH2O)n,Polymer,120,60,45,100,1.40,25.0,2650,5.8,0.23,19.5,"Ultra high flow, good mechanical properties, dimensional stability, excellent processability",https://www.celanese.com/products/celcon-pom
,Celcon® GC25A,Glass-Reinforced POM,(CH2O)n,Polymer,128,130,4,140,1.58,4.0,6800,4.2,0.19,18.5,"25% glass reinforced, high stiffness, low creep, excellent dimensional stability",https://www.celanese.com/products/celcon-pom
,Celcon® UV90Z,UV-Stabilized POM,(CH2O)n,Polymer,122,64,38,105,1.41,9.0,2700,5.4,0.22,20.0,"Weather resistant, excellent UV stability, good mechanical properties, dimensional stability",https://www.celanese.com/products/celcon-pom
,Celanex® 2300,Polybutylene Terephthalate (PBT),(C12H12O4)n,Polymer,125,56,50,150,1.31,15.0,2400,4.0,0.08,24.0,"Good mechanical properties, excellent electrical characteristics, dimensional stability",https://www.celanese.com/products/celanex-pbt
,Celanex® 2500,Polybutylene Terephthalate (PBT),(C12H12O4)n,Polymer,128,60,40,160,1.32,10.0,2500,3.8,0.07,24.5,"Higher viscosity, excellent mechanical properties, good electrical characteristics, thermal stability",https://www.celanese.com/products/celanex-pbt
,Celanex® 3300,Polybutylene Terephthalate (PBT),(C12H12O4)n,Polymer,123,55,60,145,1.30,22.0,2350,4.2,0.09,23.5,"Low viscosity, good flow, excellent electrical properties, dimensional stability",https://www.celanese.com/products/celanex-pbt
,Celanex® 2008,Flame-Retardant PBT,(C12H12O4)n,Polymer,126,58,15,155,1.55,12.0,2600,3.5,0.07,22.0,"UL94 V-0 rating, good mechanical properties, dimensional stability, electrical properties",https://www.celanese.com/products/celanex-pbt
,Celanex® 6407,Glass-Reinforced PBT,(C12H12O4)n,Polymer,130,130,2,180,1.53,8.0,8500,3.0,0.06,20.0,"30% glass reinforced, high stiffness, excellent dimensional stability, thermal properties",https://www.celanese.com/products/celanex-pbt
