Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Makrolon® 2405,Polycarbonate (PC),(C16H14O3)n,Polymer,118,65,100,125,1.20,12.0,2300,65.0,0.15,16.0,"High impact resistance, optical clarity, dimensional stability, good electrical properties",https://www.covestro.com/en/products/makrolon/makrolon-polycarbonate-resins
,Makrolon® 2805,Polycarbonate (PC),(C16H14O3)n,Polymer,122,68,110,130,1.20,10.0,2350,70.0,0.15,15.5,"Excellent impact strength, good flowability, UV stabilized, high clarity",https://www.covestro.com/en/products/makrolon/makrolon-polycarbonate-resins
,Makrolon® 2807,Polycarbonate (PC),(C16H14O3)n,Polymer,120,67,120,125,1.20,12.0,2300,75.0,0.16,15.0,"Food contact compliance, excellent impact strength, high transparency, good processability",https://www.covestro.com/en/products/makrolon/makrolon-polycarbonate-resins
,Makrolon® 3105,Polycarbonate (PC),(C16H14O3)n,Polymer,125,70,95,135,1.20,9.0,2400,65.0,0.15,16.5,"High viscosity, excellent impact resistance, optical clarity, dimensional stability",https://www.covestro.com/en/products/makrolon/makrolon-polycarbonate-resins
,Makrolon® 6265,Polycarbonate (PC),(C16H14O3)n,Polymer,130,72,90,145,1.20,8.0,2450,60.0,0.14,17.0,"UV resistant, weatherability, high impact resistance, excellent optical properties",https://www.covestro.com/en/products/makrolon/makrolon-polycarbonate-resins
,Makrolon® LED2245,Polycarbonate (PC),(C16H14O3)n,Polymer,121,66,105,135,1.20,11.0,2320,65.0,0.15,15.5,"Optimized for LED applications, high light diffusion, excellent light transmission, impact resistance",https://www.covestro.com/en/products/makrolon/makrolon-polycarbonate-resins
,Makrolon® RE,Polycarbonate (PC),(C16H14O3)n,Polymer,117,64,100,125,1.19,13.0,2250,60.0,0.16,15.0,"Recycled content, good mechanical properties, high transparency, low carbon footprint",https://www.covestro.com/en/products/makrolon/makrolon-polycarbonate-resins
,Makrolon® VR,Polycarbonate (PC),(C16H14O3)n,Polymer,122,69,95,140,1.22,8.0,2400,50.0,0.15,16.5,"Flame retardant, excellent mechanical properties, good dimensional stability, optical clarity",https://www.covestro.com/en/products/makrolon/makrolon-polycarbonate-resins
,Makrolon® Rx2530,Polycarbonate (PC),(C16H14O3)n,Polymer,124,70,95,140,1.20,10.0,2350,60.0,0.15,16.0,"Medical grade, biocompatible, sterilization resistance, excellent optical clarity",https://www.covestro.com/en/products/makrolon/makrolon-polycarbonate-resins
,Makrolon® FR7087,Polycarbonate (PC),(C16H14O3)n,Polymer,126,65,90,145,1.24,8.5,2450,45.0,0.15,17.0,"Flame retardant, good flow, excellent impact resistance, good thermal stability",https://www.covestro.com/en/products/makrolon/makrolon-polycarbonate-resins
