Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Akulon® S223-E,Polymer 6 (PA6),(C6H11NO)n,Polymer,119,80,40,155,1.13,20.0,3000,5.0,2.8,25.0,"Excellent mechanical properties, good chemical resistance, dimensional stability, easy processing",https://www.dsm.com/engineering-materials/en_US/products/akulon-polyamide-6-66.html
,Akulon® F223-D,Polymer 6 (PA6),(C6H11NO)n,Polymer,122,85,30,160,1.13,25.0,3100,4.5,2.7,25.5,"High flow, excellent surface quality, good dimensional stability, mechanical strength",https://www.dsm.com/engineering-materials/en_US/products/akulon-polyamide-6-66.html
,Akulon® K224-HG6,Polymer 6 with 30% Glass Fiber,(C6H11NO)n,Polymer,130,180,3,200,1.37,8.0,9500,10.0,1.9,22.0,"High stiffness, excellent dimensional stability, good heat resistance, chemical resistance",https://www.dsm.com/engineering-materials/en_US/products/akulon-polyamide-6-66.html
,Akulon® Ultraflow,Polymer 6 (PA6),(C6H11NO)n,Polymer,120,75,50,150,1.13,35.0,2900,6.0,2.8,24.0,"Ultra high flow, excellent dimensional stability, good surface quality, mechanical properties",https://www.dsm.com/engineering-materials/en_US/products/akulon-polyamide-6-66.html
,Arnite® A,Polyethylene Terephthalate (PET),(C10H8O4)n,Polymer,126,85,4,175,1.34,22.0,3200,3.0,0.3,22.0,"Excellent dimensional stability, good mechanical properties, thermal resistance, chemical resistance",https://www.dsm.com/engineering-materials/en_US/products/arnite-pet-pbt.html
,Arnite® B,Polybutylene Terephthalate (PBT),(C12H12O4)n,Polymer,124,55,6,160,1.31,25.0,2600,4.0,0.2,23.0,"Good dimensional stability, excellent electrical properties, thermal stability, chemical resistance",https://www.dsm.com/engineering-materials/en_US/products/arnite-pet-pbt.html
,Arnite® T,Polyethylene Terephthalate (PET),(C10H8O4)n,Polymer,128,75,15,180,1.35,18.0,3300,3.5,0.3,22.5,"High thermal stability, electrical insulation, good dimensional stability, chemical resistance",https://www.dsm.com/engineering-materials/en_US/products/arnite-pet-pbt.html
,Arnite® A-XL,Crosslinked PET,(C10H8O4)n,Polymer,130,90,3,195,1.36,15.0,3400,2.5,0.2,23.0,"Superior heat resistance, excellent dimensional stability, low warpage, electrical properties",https://www.dsm.com/engineering-materials/en_US/products/arnite-pet-pbt.html
,Arnite® ID,Post-Consumer Recycled PET,(C10H8O4)n,Polymer,125,80,4,170,1.33,20.0,3100,2.8,0.3,21.5,"Recycled content, good mechanical properties, dimensional stability, reduced carbon footprint",https://www.dsm.com/engineering-materials/en_US/products/arnite-pet-pbt.html
,Arnitel® E750,Thermoplastic Copolyester (TPC-ET),(C12H24O4)n,Polymer,75,25,500,125,1.18,10.0,150,,0.6,20.0,"Excellent flexibility, good chemical resistance, fatigue resistance, weatherability",https://www.dsm.com/engineering-materials/en_US/products/arnitel-thermoplastic-copolyester.html
,Arnitel® EL740,Thermoplastic Copolyester (TPC-ET),(C12H24O4)n,Polymer,40,20,600,100,1.15,12.0,80,,0.8,18.0,"Superior flexibility, excellent elasticity, good chemical resistance, low temperature performance",https://www.dsm.com/engineering-materials/en_US/products/arnitel-thermoplastic-copolyester.html
,Arnitel® EM550,Thermoplastic Copolyester (TPC-ET),(C12H24O4)n,Polymer,55,22,550,110,1.16,11.0,100,,0.7,19.0,"Good elasticity, excellent compression set, chemical resistance, fatigue resistance",https://www.dsm.com/engineering-materials/en_US/products/arnitel-thermoplastic-copolyester.html
,Arnitel® ECO,Bio-based Thermoplastic Copolyester,(C12H24O4)n,Polymer,60,24,530,115,1.17,10.0,120,,0.7,19.5,"Bio-based content, good elasticity, reduced carbon footprint, chemical resistance",https://www.dsm.com/engineering-materials/en_US/products/arnitel-thermoplastic-copolyester.html
,ForTii® 1100L,Polyphthalamide (PPA),(C14H16N2O2)n,Polymer,132,180,2,235,1.40,15.0,9000,8.0,1.5,26.0,"Superior heat resistance, excellent mechanical properties, dimensional stability, chemical resistance",https://www.dsm.com/engineering-materials/en_US/products/fortii.html
,ForTii® Ace,Polyphthalamide (PPA),(C14H16N2O2)n,Polymer,135,185,1,310,1.42,12.0,9500,7.0,1.2,27.0,"Extreme heat resistance, electrical insulation, dimensional stability, chemical resistance",https://www.dsm.com/engineering-materials/en_US/products/fortii.html
,ForTii® MX,Polyphthalamide (PPA),(C14H16N2O2)n,Polymer,133,190,2,290,1.41,13.0,9300,7.5,0.9,26.5,"Low moisture absorption, excellent dimensional stability, thermal resistance, electrical properties",https://www.dsm.com/engineering-materials/en_US/products/fortii.html
,ForTii® WX,Polyphthalamide (PPA),(C14H16N2O2)n,Polymer,130,165,3,275,1.39,14.0,9000,8.0,1.0,26.0,"Excellent weatherability, UV resistance, thermal stability, mechanical properties",https://www.dsm.com/engineering-materials/en_US/products/fortii.html
,Stanyl® TW341,Polymer 46 (PA46),(C10H18N2O2)n,Polymer,123,95,30,200,1.18,15.0,3400,6.0,2.5,25.0,"Excellent wear resistance, high stiffness, good tribological properties, thermal stability",https://www.dsm.com/engineering-materials/en_US/products/stanyl-polyamide-46.html
,Stanyl® TE250F6,Polymer 46 (PA46),(C10H18N2O2)n,Polymer,127,180,2,210,1.38,10.0,9000,9.0,1.8,24.0,"Superior thermal stability, excellent mechanical properties, good flow, dimensional stability",https://www.dsm.com/engineering-materials/en_US/products/stanyl-polyamide-46.html
,Stanyl® TC124,Polymer 46 (PA46),(C10H18N2O2)n,Polymer,130,110,15,230,1.20,12.0,3600,5.0,2.2,25.5,"Excellent tribological properties, low friction, high wear resistance, thermal stability",https://www.dsm.com/engineering-materials/en_US/products/stanyl-polyamide-46.html
,Stanyl® ForTii™ C,PA46/PPA Blend,(C10H18N2O2 C14H16N2O2)n,Polymer,132,190,2,250,1.40,11.0,9200,8.5,1.6,26.0,"Superior heat resistance, excellent mechanical properties, dimensional stability, chemical resistance",https://www.dsm.com/engineering-materials/en_US/products/stanyl-fortii.html
,EcoPaXX® Q-KGS6,Bio-based Polymer 410 (PA410),(C14H26N2O2)n,Polymer,125,175,3,190,1.24,12.0,8500,7.5,1.8,23.0,"70% bio-based content, excellent mechanical properties, dimensional stability, reduced carbon footprint",https://www.dsm.com/engineering-materials/en_US/products/ecopaxx.html
,EcoPaXX® Q170-D,Bio-based Polymer 410 (PA410),(C14H26N2O2)n,Polymer,121,70,50,180,1.05,18.0,2800,6.0,1.9,22.0,"70% bio-based content, good mechanical properties, low moisture absorption, chemical resistance",https://www.dsm.com/engineering-materials/en_US/products/ecopaxx.html
,Xytron™ G4010T,Polyphenylene Sulfide (PPS),(C6H4S)n,Polymer,130,145,2,220,1.65,15.0,9000,4.0,0.05,24.0,"Excellent chemical resistance, dimensional stability, thermal properties, flame resistance",https://www.dsm.com/engineering-materials/en_US/products/xytron.html
,Xytron™ G4080,Polyphenylene Sulfide (PPS),(C6H4S)n,Polymer,135,150,1,230,1.67,12.0,9500,3.5,0.04,25.0,"Superior heat resistance, excellent chemical resistance, good electrical properties, dimensional stability",https://www.dsm.com/engineering-materials/en_US/products/xytron.html
,Xantar® C,Polycarbonate (PC),(C16H14O3)n,Polymer,124,65,100,130,1.20,12.0,2300,65.0,0.35,18.0,"Excellent impact resistance, good transparency, thermal stability, dimensional stability",https://www.dsm.com/engineering-materials/en_US/products/xantar-polycarbonate.html
,Xantar® E,PC/PET Blend,(C16H14O3 C10H8O4)n,Polymer,120,60,80,120,1.25,15.0,2500,55.0,0.30,19.0,"Good chemical resistance, impact resistance, thermal stability, dimensional stability",https://www.dsm.com/engineering-materials/en_US/products/xantar-polycarbonate.html
,Xantar® RC,Post-Consumer Recycled PC,(C16H14O3)n,Polymer,122,63,90,125,1.19,13.0,2200,60.0,0.36,17.5,"Recycled content, good impact resistance, transparency, reduced carbon footprint",https://www.dsm.com/engineering-materials/en_US/products/xantar-polycarbonate.html
,Palapreg® ECO P55-01,Bio-based Polymer Resin,(C10H8O4)n,Polymer,65,3,120,1.22,10.0,3100,,4.0,0.4,20.0,"40% bio-based content, good mechanical properties, chemical resistance, reduced carbon footprint",https://www.dsm.com/engineering-materials/en_US/products/palapreg.html
,Akulon® RePurposed PA6,Polymer 6,(C6H11NO)n,Polymer,118,78,35,150,1.12,18.0,2900,4.8,2.9,24.0,"Ocean plastic recovery, good mechanical properties, chemical resistance, reduced environmental impact",https://www.dsm.com/engineering-materials/en_US/products/akulon-repurposed.html
