Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Zytel® 101,Polyamide 66 (PA66),(C12H22N2O2)n,Polymer,120,82,60,150,1.14,15.0,2900,5.5,1.5,25.0,"High strength, excellent chemical resistance, good abrasion resistance, dimensional stability",https://www.dupont.com/products/zytel.html
,Zytel® 70G33L,Polyamide 66 (PA66) Glass-Reinforced,(C12H22N2O2)n,Polymer,125,190,3,180,1.40,8.0,9500,9.0,0.8,18.0,"High stiffness, dimensional stability, heat resistance, excellent mechanical properties",https://www.dupont.com/products/zytel.html
,Zytel® HTN51G35,Polyamide HTN (HTPA),(C13H24N2O2)n,Polymer,128,185,2,200,1.43,9.0,10200,8.5,0.5,20.0,"High temperature resistance, chemical resistance, excellent dimensional stability, stiffness",https://www.dupont.com/products/zytel.html
,Zytel® FE8194 NC010,Bio-Based Polyamide,(C11H21NO)n,Polymer,117,75,150,90,1.09,10.0,2400,15.0,1.8,22.0,"Renewable content, flexibility, excellent impact strength, good chemical resistance",https://www.dupont.com/products/zytel.html
,Delrin® 100,Polyoxymethylene (POM),(CH2O)n,Polymer,124,69,25,105,1.42,2.5,3100,6.0,0.2,20.0,"Excellent fatigue resistance, low friction, high stiffness, good dimensional stability",https://www.dupont.com/products/delrin.html
,Delrin® 500,Polyoxymethylene (POM),(CH2O)n,Polymer,122,72,30,110,1.43,8.0,3200,6.5,0.2,20.5,"High tensile strength, excellent fatigue endurance, good chemical resistance, low friction",https://www.dupont.com/products/delrin.html
,Delrin® 100P,Polyoxymethylene (POM) Homopolymer,(CH2O)n,Polymer,125,70,25,115,1.41,1.5,3250,5.0,0.2,21.0,"High stiffness, excellent dimensional stability, good wear resistance, chemical resistance",https://www.dupont.com/products/delrin.html
,Delrin® 100KM,Polyoxymethylene (POM),(CH2O)n,Polymer,120,65,60,100,1.40,6.0,2800,9.0,0.25,19.5,"High impact resistance, fatigue resistance, excellent dimensional stability, good wear resistance",https://www.dupont.com/products/delrin.html
,Hytrel® 5526,Thermoplastic Elastomer (TPE),(C12H24O4)n,Polymer,55,35,450,120,1.20,7.0,110,,0.6,16.0,"Flexibility, excellent fatigue resistance, good chemical resistance, low temperature toughness",https://www.dupont.com/products/hytrel.html
,Hytrel® 7246,Thermoplastic Elastomer (TPE),(C12H24O4)n,Polymer,72,40,350,140,1.22,5.0,180,,0.5,17.5,"High temperature resistance, excellent flexibility, good chemical resistance, fatigue resistance",https://www.dupont.com/products/hytrel.html
