Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Tritan™ TX1001,Copolyester,(C10H8O4)n,Polymer,85,53,210,105,1.18,9.0,2100,12.5,0.2,16.0,"BPA-free, excellent clarity, chemical resistance, dishwasher durability",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71040786
,Tritan™ MX711,Copolyester,(C10H8O4)n,Polymer,83,48,230,110,1.17,10.5,2000,13.0,0.2,16.5,"Medical-grade, sterilization resistance, excellent clarity, impact resistance",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71040795
,Tritan™ MX731,Copolyester,(C10H8O4)n,Polymer,84,51,220,108,1.18,9.8,2050,12.8,0.2,16.2,"Medical-grade, high heat resistance, chemical durability, excellent clarity",https://www.eastman.com/Pages/ProductHome.aspx?product=71072623
,Eastar™ 6763,Copolyester,(C10H8O4)n,Polymer,78,42,340,70,1.27,12.5,1850,9.0,0.3,15.0,"Food contact approved, excellent clarity, good processability, printability",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71001284
,Eastar™ EN076,Copolyester,(C10H8O4)n,Polymer,80,45,300,75,1.26,11.0,1900,9.5,0.3,15.5,"Excellent clarity, good chemical resistance, processability, food contact approved",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71004718
,Spectar™ 14471,Copolyester,(C10H8O4)n,Polymer,79,48,280,80,1.27,13.0,1875,10.0,0.3,15.2,"High clarity, excellent impact resistance, chemical resistance, printability",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71038748
,Tenite™ Propionate,Cellulose Propionate,(C5H8O2)n,Polymer,70,35,80,85,1.21,8.0,1750,6.0,1.8,14.0,"Good impact resistance, excellent surface gloss, moldability, good dimensional stability",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000646
,Tenite™ Acetate,Cellulose Acetate,(C4H6O3)n,Polymer,65,30,60,90,1.30,4.0,1700,5.0,2.0,13.0,"Excellent optical properties, high surface gloss, hypoallergenic, biodegradability",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000645
,Tenite™ Butyrate,Cellulose Acetate Butyrate,(C6H10O2)n,Polymer,68,33,70,95,1.19,6.0,1650,5.5,1.5,15.0,"Weather resistant, excellent dimensional stability, low moisture absorption, optical clarity",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000649
,Eastman™ CAB 551-0.01,Cellulose Acetate Butyrate,(C6H10O2)n,Polymer,69,34,65,100,1.18,15.0,1625,5.3,1.6,14.8,"Low viscosity, excellent clarity, printability, solvent compatibility",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71001029
,Eastman™ CAB 553-0.4,Cellulose Acetate Butyrate,(C6H10O2)n,Polymer,72,36,60,105,1.20,5.0,1700,5.6,1.5,15.2,"Medium viscosity, excellent dimensional stability, chemical resistance, weatherability",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000660
,Eastman™ CAP 482-0.5,Cellulose Acetate Propionate,(C5H8O2)n,Polymer,71,34,55,95,1.19,7.0,1730,5.8,1.7,13.8,"Medium viscosity, excellent clarity, printability, chemical resistance",https://www.eastman.com/Products/Pages/ProductHome.aspx?product=71000664
