Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,VESTAMID® L2140,Polyamide 12 (PA12),(C12H23NO)n,Polymer,120,45,200,150,1.01,15.0,1500,6.0,0.7,25.0,"Excellent chemical resistance, good impact strength, low moisture absorption, flexibility",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-l/
,VESTAMID® L1901,Polyamide 12 (PA12),(C12H23NO)n,Polymer,118,48,220,145,1.01,18.0,1450,6.5,0.7,24.5,"High flexibility, excellent chemical resistance, good impact strength, dimensional stability",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-l/
,VESTAMID® L2101 F,Polyamide 12 (PA12),(C12H23NO)n,Polymer,121,50,180,155,1.02,22.0,1550,5.8,0.65,25.0,"Good flow, excellent chemical resistance, low moisture absorption, dimensional stability",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-l/
,VESTAMID® L1940,Polyamide 12 (PA12),(C12H23NO)n,Polymer,122,49,210,150,1.01,16.0,1500,6.2,0.7,24.0,"UV-stabilized, weather resistant, excellent chemical resistance, good impact strength",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-l/
,VESTAMID® L1670-CF20,Glass Fiber Reinforced PA12,(C12H23NO)n,Polymer,128,100,6,170,1.14,6.0,5500,7.0,0.5,22.0,"20% carbon fiber reinforced, high stiffness, excellent dimensional stability, chemical resistance",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-l/
,VESTAMID® D18,Polyamide 612 (PA612),(C18H34N2O2)n,Polymer,115,52,250,120,1.06,12.0,1600,7.0,0.8,23.0,"Good low temperature impact strength, oil resistance, excellent dimensional stability",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-d/
,VESTAMID® D16,Polyamide 612 (PA612),(C18H34N2O2)n,Polymer,117,55,240,125,1.06,14.0,1650,6.8,0.75,23.5,"Good chemical resistance, excellent dimensional stability, flexibility, low moisture absorption",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-d/
,VESTAMID® D18-GF30,Glass Fiber Reinforced PA612,(C18H34N2O2)n,Polymer,125,135,5,160,1.36,5.0,6800,5.5,0.5,21.0,"30% glass fiber reinforced, high stiffness, excellent dimensional stability, chemical resistance",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-d/
,VESTAMID® E40-P1,Polyamide 1010 (PA1010),(C20H38N2O2)n,Polymer,122,60,230,130,1.04,10.0,1700,7.5,0.6,24.0,"Bio-based, renewable content, excellent chemical resistance, low water absorption",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-terra/
,VESTAMID® E40-P2,Polyamide 1010 (PA1010),(C20H38N2O2)n,Polymer,123,58,240,135,1.04,12.0,1750,7.2,0.55,24.5,"High bio-content, excellent chemical resistance, good dimensional stability, flexibility",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-terra/
,VESTAMID® E40-C2,Polyamide 1010 (PA1010),(C20H38N2O2)n,Polymer,125,95,10,150,1.15,5.0,5200,6.0,0.45,22.5,"20% carbon fiber reinforced, bio-based, high stiffness, excellent dimensional stability",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-terra/
,VESTAMID® NRG 5001,Polyamide 12 (PA12),(C12H23NO)n,Polymer,115,40,220,120,1.01,14.0,1450,6.5,0.7,24.0,"High-performance piping systems, excellent chemical resistance, flexibility, durability",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-nrg/
,VESTAMID® HTplus,Polyphthalamide (PPA),(C14H16N2O2)n,Polymer,130,90,15,185,1.20,8.0,3500,5.0,1.2,24.0,"High temperature resistance, excellent mechanical properties, good dimensional stability",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-htplus/
,VESTAMID® HTplus M3000-GF30,Glass Fiber Reinforced PPA,(C14H16N2O2)n,Polymer,135,185,2,210,1.45,4.0,9500,4.5,0.7,22.0,"30% glass fiber reinforced, superior temperature resistance, excellent mechanical properties",https://www.vestamid.com/product/vestamid/en/products-services/vestamid-htplus/
,VESTAKEEP® 4000 G,Polyetheretherketone (PEEK),(C19H12O3)n,Polymer,126,95,5,250,1.30,12.0,3800,7.0,0.5,20.0,"Excellent mechanical properties, extreme temperature resistance, chemical resistance",https://www.vestakeep.com/product/peek/en/products-services/vestakeep-4000/
,VESTAKEEP® 5000 G,Polyetheretherketone (PEEK),(C19H12O3)n,Polymer,129,100,4,260,1.31,8.0,4000,6.5,0.45,20.5,"High viscosity, excellent mechanical properties, superior temperature resistance, chemical resistance",https://www.vestakeep.com/product/peek/en/products-services/vestakeep-5000/
,VESTAKEEP® i2 G,PEEK for Medical Implants,(C19H12O3)n,Polymer,127,97,5,255,1.30,10.0,3900,6.8,0.5,20.0,"Biocompatible, excellent mechanical properties, superior temperature resistance, chemical resistance",https://www.vestakeep.com/product/peek/en/products-services/vestakeep-i/
,VESTAKEEP® i4 G,PEEK for Medical Implants,(C19H12O3)n,Polymer,128,98,4,255,1.31,9.0,3950,6.7,0.5,20.0,"USP Class VI, biocompatible, radiolucent, excellent mechanical properties",https://www.vestakeep.com/product/peek/en/products-services/vestakeep-i/
,VESTAKEEP® 4000 CF30,Carbon Fiber Reinforced PEEK,(C19H12O3)n,Polymer,132,210,2,280,1.41,4.0,18500,8.5,0.3,19.0,"30% carbon fiber reinforced, superior mechanical properties, excellent thermal properties",https://www.vestakeep.com/product/peek/en/products-services/vestakeep-4000/
,TROGAMID® CX7323,Transparent Polyamide,(C15H17NO2)n,Polymer,115,60,15,130,1.12,15.0,2600,4.5,1.2,26.0,"Excellent transparency, high chemical resistance, good impact strength, UV stability",https://www.trogamid.com/product/trogamid/en/products-services/trogamid-cx/
,TROGAMID® myCX,Transparent Polyamide,(C15H17NO2)n,Polymer,117,70,10,140,1.10,18.0,2800,4.0,1.0,27.0,"Superior transparency, excellent chemical resistance, UV stability, high-quality surface finish",https://www.trogamid.com/product/trogamid/en/products-services/trogamid-mycx/
,TROGAMID® T5000,Transparent Polyamide,(C15H17NO2)n,Polymer,120,65,12,150,1.15,14.0,2900,4.2,1.1,26.5,"High transparency, excellent chemical resistance, good impact strength, temperature resistance",https://www.trogamid.com/product/trogamid/en/products-services/trogamid-t/
,CYROLITE® G20,Medical Acrylic Compound,(C5H8O2)n,Polymer,110,55,5,90,1.18,6.0,2400,2.0,0.3,16.0,"Medical grade, gamma sterilizable, excellent transparency, good impact resistance",https://www.cyrolite.com/product/cyrolite/en/products-services/
