Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Property Overlap,References
,Hostalen® GC7260,High-Density Polyethylene (HDPE),(C2H4)n,Polymer,65,26,800,80,"Excellent chemical resistance, good stiffness, processability, environmental stress crack resistance",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polyethylene/
,Hostalen® ACP 5831 D,High-Density Polyethylene (HDPE),(C2H4)n,Polymer,68,30,750,90,"Pipe grade, excellent long-term hydrostatic strength, good crack resistance, UV stability",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polyethylene/
,Hostalen® GF 4750,High-Density Polyethylene (HDPE),(C2H4)n,Polymer,63,25,850,75,"Film grade, excellent processability, good tear resistance, impact resistance, translucency",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polyethylene/
,Hostalen® GUR 4150,Ultra-High-Molecular-Weight PE,(C2H4)n,Polymer,65,40,350,90,"Excellent abrasion resistance, high impact strength, chemical resistance, self-lubricating",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polyethylene/
,Lupolen® 2426 H,Low-Density Polyethylene (LDPE),(C2H4)n,Polymer,45,12,600,70,"Film grade, excellent clarity, good processability, seal strength, flexibility",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polyethylene/
,Lupolen® 3020 D,Low-Density Polyethylene (LDPE),(C2H4)n,Polymer,47,14,550,75,"Excellent processability, good flexibility, impact resistance, chemical resistance",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polyethylene/
,Lupolen® 5021 DX,Low-Density Polyethylene (LDPE),(C2H4)n,Polymer,50,16,500,80,"Extrusion coating, excellent processability, adhesion properties, heat seal strength",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polyethylene/
,Luflexen® 18Q470,Linear Low-Density PE (LLDPE),(C2H4)n,Polymer,55,25,800,90,"Film grade, excellent puncture resistance, tear resistance, tensile properties, sealability",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polyethylene/
,Luflexen® 18Q370,Linear Low-Density PE (LLDPE),(C2H4)n,Polymer,53,23,850,85,"Excellent impact resistance, good tear properties, processability, clarity",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polyethylene/
,Moplen® HP500N,Polypropylene Homopolymer (PP-H),(C3H6)n,Polymer,95,35,600,100,"Excellent stiffness, good processing properties, chemical resistance, heat resistance",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
,Moplen® HP552R,Polypropylene Homopolymer (PP-H),(C3H6)n,Polymer,97,36,550,110,"High flow, excellent stiffness, good processability, heat resistance, chemical resistance",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
,Moplen® RP220M,Polypropylene Random Copolymer (PP-R),(C3H6)n,Polymer,85,28,700,95,"Excellent optical properties, good impact resistance, low warpage, heat resistance",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
,Moplen® EP340K,Polypropylene Impact Copolymer (PP-B),(C3H6)n,Polymer,90,25,250,100,"Superior impact resistance, good stiffness, processability, low temperature toughness",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
,Moplen® EP548T,Polypropylene Impact Copolymer (PP-B),(C3H6)n,Polymer,92,26,200,105,"Excellent impact strength, good flow properties, stiffness, dimensional stability",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
,Hifax® TRC 4531,Polypropylene Compound,(C3H6)n,Polymer,62,20,450,110,"Soft-touch applications, excellent aesthetic properties, good scratch resistance",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
,Hifax® CA 10 A,Polypropylene Compound,(C3H6)n,Polymer,60,18,500,105,"Automotive applications, excellent low temperature impact, good UV resistance",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
,Hifax® TRC 787K,Thermoplastic Olefin (TPO),(C3H6)n,Polymer,65,15,550,100,"Excellent UV resistance, good colorability, scratch resistance, low gloss",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
,Adstif® EA248F,High Crystallinity PP,(C3H6)n,Polymer,100,40,500,115,"Superior stiffness, good processability, excellent dimensional stability, heat resistance",https://www.lyondellbasell.com/en/products-technology/polymers/resin-type/polypropylene/
