Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,XANAC™ M580,Acrylic Resin (PMMA),(C5H8O2)n,Polymer,100,70,4,90,1.19,3.5,3300,1.5,0.3,18.0,"Excellent transparency, superior weather resistance, UV stability, good surface hardness",https://www.m-chemical.co.jp/en/products/departments/mcc/acrypet/product/xanac/
,ACRYPET™ VH,Acrylic Resin (PMMA),(C5H8O2)n,Polymer,105,75,5,95,1.19,3.0,3400,1.6,0.3,18.5,"High transparency, excellent weather resistance, UV stability, good surface hardness",https://www.m-chemical.co.jp/en/products/departments/mcc/acrypet/product/1201026_7964.html
,ACRYPET™ IR,Impact-Modified PMMA,(C5H8O2)n,Polymer,95,45,15,85,1.17,5.0,2800,5.5,0.3,17.0,"High impact strength, good transparency, weather resistance, UV stability",https://www.m-chemical.co.jp/en/products/departments/mcc/acrypet/product/1201026_7964.html
,ACRYPET™ MD,PMMA for Optical Applications,(C5H8O2)n,Polymer,103,72,3,90,1.19,2.5,3450,1.4,0.3,19.0,"Superior optical properties, high transparency, UV resistance, minimal birefringence",https://www.m-chemical.co.jp/en/products/departments/mcc/acrypet/product/1201026_7964.html
,DURABIO™ D-7340,Bio-based Engineering Plastic,(C7H10O2)n,Polymer,110,60,80,100,1.20,14.0,2300,6.0,0.4,16.0,"Bio-based, high transparency, excellent impact resistance, chemical resistance, UV stability",https://www.m-chemical.co.jp/en/products/departments/mcc/sustainable/product/1201067_7978.html
,DURABIO™ D-8320,Bio-based Engineering Plastic,(C7H10O2)n,Polymer,115,65,75,110,1.20,12.0,2400,5.5,0.4,16.5,"Bio-based, superior transparency, excellent surface hardness, UV resistance, chemical resistance",https://www.m-chemical.co.jp/en/products/departments/mcc/sustainable/product/1201067_7978.html
,IUPILON™ S-2000,Polycarbonate (PC),(C16H14O3)n,Polymer,118,65,110,125,1.20,10.0,2300,65.0,0.15,16.0,"Excellent impact resistance, good transparency, dimensional stability, thermal properties",https://www.m-chemical.co.jp/en/products/departments/mcc/iupilon/product/1201068_7979.html
,IUPILON™ E-2000,Polycarbonate (PC),(C16H14O3)n,Polymer,120,68,100,130,1.20,18.0,2350,60.0,0.15,16.0,"High flow, good impact resistance, excellent transparency, thermal stability",https://www.m-chemical.co.jp/en/products/departments/mcc/iupilon/product/1201068_7979.html
,IUPILON™ H-4000,Polycarbonate (PC),(C16H14O3)n,Polymer,122,70,90,140,1.21,8.0,2400,55.0,0.15,16.5,"High heat resistance, good impact strength, dimensional stability, flame resistance",https://www.m-chemical.co.jp/en/products/departments/mcc/iupilon/product/1201068_7979.html
,IUPILON™ HL-4000,UV-Resistant Polycarbonate,(C16H14O3)n,Polymer,119,66,105,135,1.20,9.0,2350,60.0,0.15,16.0,"Excellent weatherability, UV resistance, good impact strength, transparency",https://www.m-chemical.co.jp/en/products/departments/mcc/iupilon/product/1201068_7979.html
,NOVAREX™ 450,PC/ABS Blend,(C16H14O3 C8H8 C4H6 C3H3N)n,Polymer,112,55,70,110,1.15,22.0,2100,35.0,0.2,16.0,"Good flow, high impact resistance, excellent surface quality, flame resistance",https://www.m-chemical.co.jp/en/products/departments/mcc/pc-alloy/product/1201098_7983.html
,NOVAREX™ 5001,PC/ABS Blend,(C16H14O3 C8H8 C4H6 C3H3N)n,Polymer,114,53,80,105,1.14,25.0,2050,40.0,0.2,15.5,"Excellent impact resistance, good surface quality, high flowability, flame resistance",https://www.m-chemical.co.jp/en/products/departments/mcc/pc-alloy/product/1201098_7983.html
,NOVAREX™ 3000R,PC/ABS Blend,(C16H14O3 C8H8 C4H6 C3H3N)n,Polymer,110,50,85,100,1.14,20.0,2000,32.0,0.2,15.0,"Recycled content, good mechanical properties, excellent surface quality, reduced carbon footprint",https://www.m-chemical.co.jp/en/products/departments/mcc/pc-alloy/product/1201098_7983.html
,RENY™ 1001,Polyamide MXD6,(C15H12N2O2)n,Polymer,125,190,3,200,1.22,8.0,5500,4.0,1.0,20.0,"Superior barrier properties, high strength, excellent dimensional stability, chemical resistance",https://www.m-chemical.co.jp/en/products/departments/mcc/reny/product/1201027_7963.html
,RENY™ 1022,Glass-Reinforced PA MXD6,(C15H12N2O2)n,Polymer,130,210,2,220,1.53,3.0,14000,5.0,0.6,18.0,"40% glass reinforced, high stiffness, excellent dimensional stability, low warpage",https://www.m-chemical.co.jp/en/products/departments/mcc/reny/product/1201027_7963.html
,RENY™ ES1006G,Carbon Fiber Reinforced PA MXD6,(C15H12N2O2)n,Polymer,132,220,1,230,1.35,2.5,16000,6.0,0.5,17.0,"30% carbon fiber, electrical conductivity, excellent mechanical properties, dimensional stability",https://www.m-chemical.co.jp/en/products/departments/mcc/reny/product/1201027_7963.html
,DIAFOIL™ O,Biaxially Oriented PET Film,(C10H8O4)n,Polymer,200,95,150,1.40,,,3800,,0.5,19.0,"Excellent mechanical properties, good optical properties, electrical insulation, chemical resistance",https://www.m-chemical.co.jp/en/products/departments/mcc/polyester-film/product/1201035_7968.html
,DIAFOIL™ EH,Heat-Resistant PET Film,(C10H8O4)n,Polymer,205,90,180,1.40,,,4000,,0.4,20.0,"Superior thermal resistance, excellent dimensional stability, good mechanical properties",https://www.m-chemical.co.jp/en/products/departments/mcc/polyester-film/product/1201035_7968.html
,DIAFOIL™ MA,Matte PET Film,(C10H8O4)n,Polymer,195,95,150,1.39,,,3700,,0.5,18.5,"Anti-glare surface, good mechanical properties, excellent printability, chemical resistance",https://www.m-chemical.co.jp/en/products/departments/mcc/polyester-film/product/1201035_7968.html
,DIAREX™ TF,PET Film for Optical Applications,(C10H8O4)n,Polymer,210,85,170,1.40,,,4100,,0.4,21.0,"Optical grade, excellent transparency, low haze, dimensional stability",https://www.m-chemical.co.jp/en/products/departments/mcc/polyester-film/product/1201037_7969.html
,CLEARFIT™,Modified PC Film,(C16H14O3)n,Polymer,65,120,130,1.20,,,2200,,0.15,16.0,"Excellent formability, good transparency, chemical resistance, UV stability",https://www.m-chemical.co.jp/en/products/departments/mcc/film/product/1201070_7980.html
,KEMPLAST™ K-PLA,Polylactic Acid (PLA),(C3H4O2)n,Polymer,115,50,6,55,1.24,15.0,3600,2.5,0.5,16.0,"Biobased, biodegradable, good transparency, low carbon footprint",https://www.m-chemical.co.jp/en/products/departments/mcc/sustainable/product/1201067_7978.html
,KE POLYMER™ KP-0010,Modified Polyolefin,(C2H4)n,Polymer,90,25,600,80,0.92,5.0,450,,0.01,22.0,"Excellent flexibility, good chemical resistance, processability, thermal stability",https://www.m-chemical.co.jp/en/products/departments/mcc/ke-polymer/product/1201063_7976.html
,DIAMIRON™,EVOH Copolymer,(C2H4O C2H3OH)n,Polymer,45,150,180,1.19,3.5,,2600,3.0,4.5,17.0,"Excellent oxygen barrier, good moisture resistance, thermoformability, transparency",https://www.m-chemical.co.jp/en/products/departments/mcc/diamiron/product/1201051_7972.html
,FORZEAS™,Bio-PBS,(C4H6O3)n,Polymer,90,20,350,80,1.26,22.0,550,,0.9,15.0,"Biodegradable, biobased content, flexibility, good processability",https://www.m-chemical.co.jp/en/products/departments/mcc/sustainable/product/1201067_7978.html
,MAFTEC™,Polycrystalline Alumina Fiber,Al2O3,Polymer,,,,1600,3.20,,,,,,"Ultra-high temperature resistance, excellent thermal insulation, low thermal conductivity",https://www.maftec.com/en/
,KURESIL™ TS101,Silicone Rubber,(C2H6OSi)n,Polymer,50,8,450,200,1.12,,,,0.1,21.0,"Excellent thermal resistance, electrical insulation, flexibility, good weatherability",https://www.m-chemical.co.jp/en/products/departments/mcc/silicone/product/1201657_12054.html
,HIPRENE™ J570,Thermoplastic Elastomer (TPE),(C8H8 C4H6)n,Polymer,70,5,700,90,0.89,12.0,,,0.1,18.0,"Excellent flexibility, good chemical resistance, oil resistance, high elasticity",https://www.m-chemical.co.jp/en/products/departments/mcc/hiprene/product/1201055_7973.html
,HIPRENE™ J170,Thermoplastic Elastomer (TPE),(C8H8 C4H6)n,Polymer,40,4,800,80,0.88,15.0,,,0.1,17.0,"Super soft, superior flexibility, excellent elasticity, good chemical resistance",https://www.m-chemical.co.jp/en/products/departments/mcc/hiprene/product/1201055_7973.html
,LEMALLOY™ AX05,PC/PET Blend,(C16H14O3 C10H8O4)n,Polymer,115,60,125,130,1.30,15.0,2500,45.0,0.2,17.0,"Excellent chemical resistance, good impact strength, dimensional stability, thermal properties",https://www.m-chemical.co.jp/en/products/departments/mcc/pc-alloy/product/1201098_7983.html
