Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Lexan™ EXL1414T,Polycarbonate Blend,(C16H14O3)n,Polymer,115,55,110,140,1.20,14.0,2100,35.0,0.2,15.0,"High impact resistance, excellent low temperature toughness, good flow",https://www.sabic.com/en/products/polymers/lexan-resin
,Lexan™ 123R,Polycarbonate,(C16H14O3)n,Polymer,118,65,100,135,1.20,10.0,2300,12.0,0.15,16.0,"Optical clarity, high impact strength, excellent weatherability, UV resistance",https://www.sabic.com/en/products/polymers/lexan-resin
,Lexan™ HFD1100,Polycarbonate,(C16H14O3)n,Polymer,120,62,110,145,1.25,25.0,2350,9.0,0.2,16.5,"Flame retardant, high flow, good impact resistance, excellent thermal stability",https://www.sabic.com/en/products/polymers/lexan-resin
,Lexan™ SLX2010,Polycarbonate Siloxane Copolymer,(C16H14O3 C2H6SiO)n,Polymer,110,58,125,130,1.10,12.0,1950,45.0,0.25,15.5,"UV resistance, weatherability, high flow, excellent ductility",https://www.sabic.com/en/products/polymers/lexan-resin
,Cycoloy™ C1100HF,PC/ABS Blend,(C16H14O3 C8H8 C4H6 C3H3N)n,Polymer,112,50,120,95,1.15,25.0,2200,30.0,0.3,15.0,"High flow, good impact balance, good thermal stability, excellent aesthetics",https://www.sabic.com/en/products/polymers/cycoloy-resin
,Cycoloy™ CU6810,PC/ABS Blend,(C16H14O3 C8H8 C4H6 C3H3N)n,Polymer,115,48,110,90,1.13,15.0,2150,28.0,0.25,15.2,"UV resistant, excellent weatherability, good impact strength, dimensional stability",https://www.sabic.com/en/products/polymers/cycoloy-resin
,Cycoloy™ C2950,PC/ABS Blend,(C16H14O3 C8H8 C4H6 C3H3N)n,Polymer,110,45,100,105,1.18,18.0,2100,25.0,0.3,14.8,"Flame retardant, good flow, impact resistance, excellent surface finish",https://www.sabic.com/en/products/polymers/cycoloy-resin
,Valox™ ENH4530,PBT,(C12H12O4)n,Polymer,118,52,30,175,1.31,8.0,2650,5.5,0.08,18.0,"High heat resistance, excellent chemical resistance, good flow, dimensional stability",https://www.sabic.com/en/products/polymers/valox-resin
,Valox™ iQ,PBT,(C12H12O4)n,Polymer,120,55,25,170,1.30,9.0,2700,5.0,0.09,18.5,"Recycled content, chemical resistance, good mechanical properties, excellent stiffness",https://www.sabic.com/en/products/polymers/valox-resin
,Valox™ HX3061,PBT/PET Blend,(C12H12O4 C10H8O4)n,Polymer,116,50,40,180,1.32,12.0,2600,5.8,0.05,19.0,"Hydrolysis resistance, superior chemical resistance, excellent dimensional stability",https://www.sabic.com/en/products/polymers/valox-resin
,Xenoy™ 1760,PC/PBT Blend,(C16H14O3 C12H12O4)n,Polymer,114,52,110,125,1.23,10.0,2300,25.0,0.12,16.0,"High impact strength, chemical resistance, excellent dimensional stability, good toughness",https://www.sabic.com/en/products/polymers/xenoy-resin
,Xenoy™ CL100,PC/PBT Blend,(C16H14O3 C12H12O4)n,Polymer,116,55,120,130,1.25,9.0,2350,28.0,0.12,16.5,"Chemical resistance, excellent impact strength, good heat resistance, weatherability",https://www.sabic.com/en/products/polymers/xenoy-resin
,Ultem™ 1000,Polyetherimide,(C37H24N2O6)n,Polymer,109,105,60,210,1.27,9.0,3200,5.3,0.25,23.0,"High heat resistance, excellent flame resistance, dimensional stability, chemical resistance",https://www.sabic.com/en/products/polymers/ultem-resin
,Ultem™ 1010,Polyetherimide,(C37H24N2O6)n,Polymer,112,110,50,217,1.28,6.0,3300,5.0,0.24,22.5,"Superior heat resistance, excellent chemical resistance, good mechanical strength, dimensional stability",https://www.sabic.com/en/products/polymers/ultem-resin
,Ultem™ 2200,Polyetherimide Blend,(C37H24N2O6)n,Polymer,118,125,40,200,1.29,13.0,3400,4.8,0.23,22.0,"Enhanced flow, excellent dimensional stability, high heat resistance, flame retardancy",https://www.sabic.com/en/products/polymers/ultem-resin
,Noryl™ EN150,PPO/PS Blend,(C8H8O C8H8)n,Polymer,110,58,20,125,1.06,8.0,2550,6.0,0.07,17.0,"Dimensional stability, thermal resistance, excellent electrical properties, chemical resistance",https://www.sabic.com/en/products/polymers/noryl-resin
,Noryl™ GTX974,PPO/PA Blend,(C8H8O C6H11NO)n,Polymer,108,65,25,150,1.10,5.0,2650,7.0,0.12,18.0,"Electrostatic dissipation, excellent mechanical properties, high heat resistance, dimensional stability",https://www.sabic.com/en/products/polymers/noryl-resin
,Noryl™ SE1GFN2,PPO/PS Blend,(C8H8O C8H8)n,Polymer,115,70,15,140,1.20,7.0,3200,5.5,0.06,19.0,"Glass-reinforced, high mechanical strength, dimensional stability, excellent electrical properties",https://www.sabic.com/en/products/polymers/noryl-resin
,LNP™ THERMOCOMP EC006,PA Compound,(C6H11NO)n,Polymer,112,110,5,155,1.35,4.0,3500,3.0,0.7,12.0,"Electrically conductive, excellent mechanical properties, thermal stability, good processability",https://www.sabic.com/en/products/polymers/compounds/lnp-thermocomp
,LNP™ LUBRICOMP,PBT Compound,(C12H12O4)n,Polymer,122,65,15,165,1.40,6.0,3100,4.0,0.06,17.5,"Internal lubrication, excellent wear resistance, good mechanical properties, dimensional stability",https://www.sabic.com/en/products/polymers/compounds/lnp-lubricomp
,LNP™ STAT-LOY,ABS Compound,(C8H8 C4H6 C3H3N)n,Polymer,103,42,25,100,1.05,12.0,2300,15.0,0.3,14.5,"Antistatic properties, good impact strength, excellent surface appearance, dimensional stability",https://www.sabic.com/en/products/polymers/compounds/lnp-stat-loy
,EXTEM™ UH1019,Polyimide,(C33H16N2O6S)n,Polymer,124,120,10,240,1.35,7.0,3800,3.5,0.3,24.0,"Ultra-high heat resistance, excellent chemical resistance, mechanical strength, dimensional stability",https://www.sabic.com/en/products/polymers/extem-resin
,EXTEM™ XH1005,Polyimide,(C33H16N2O6S)n,Polymer,128,125,8,250,1.38,5.0,4000,3.0,0.3,25.0,"Extreme high heat resistance, flame retardancy, chemical resistance, dimensional stability",https://www.sabic.com/en/products/polymers/extem-resin
,Cycolac™ MG47,ABS,(C8H8 C4H6 C3H3N)n,Polymer,108,46,25,95,1.05,22.0,2350,20.0,0.3,15.5,"High flow, excellent impact strength, good surface finish, good dimensional stability",https://www.sabic.com/en/products/polymers/cycolac-resin
,Cycolac™ BDT5510,ABS,(C8H8 C4H6 C3H3N)n,Polymer,110,43,30,90,1.06,18.0,2400,22.0,0.3,15.0,"Heat resistance, high impact strength, excellent dimensional stability, good flow",https://www.sabic.com/en/products/polymers/cycolac-resin
,SABIC® LDPE M200056,LDPE,(C2H4)n,Polymer,45,13,600,75,0.92,20.0,200,NB,0.01,22.0,"Good flexibility, chemical resistance, excellent processability, good electrical properties",https://www.sabic.com/en/products/polymers/pe/ldpe
,SABIC® HDPE M80064S,HDPE,(C2H4)n,Polymer,65,30,800,120,0.96,8.0,1100,12.0,0.01,45.0,"High rigidity, excellent chemical resistance, good processability, dimensional stability",https://www.sabic.com/en/products/polymers/pe/hdpe
,SABIC® PP PHC27,Polypropylene,(C3H6)n,Polymer,70,28,450,140,0.90,12.0,1350,3.5,0.01,30.0,"High clarity, good stiffness, excellent chemical resistance, good processability",https://www.sabic.com/en/products/polymers/pp
,SABIC® PPcompound 108MF10,Polypropylene,(C3H6)n,Polymer,75,32,300,150,1.04,6.0,3500,8.0,0.02,24.0,"Glass fiber reinforced, high stiffness, thermal stability, excellent dimensional stability",https://www.sabic.com/en/products/polymers/pp-compounds
