Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
,Amodel® PPA A-1133,Polyphthalamide (PPA),(C14H16N2O2)n,Polymer,132,190,3,220,1.40,16.0,9000,8.0,1.5,26.0,"Superior heat resistance, excellent mechanical properties, dimensional stability, chemical resistance",https://www.solvay.com/en/brands/amodel-ppa
,Amodel® PPA AS-4133,Polyphthalamide (PPA),(C14H16N2O2)n,Polymer,135,195,2,230,1.41,20.0,9200,7.5,1.4,27.0,"Superior heat resistance, excellent flow, chemical resistance, electrical properties",https://www.solvay.com/en/brands/amodel-ppa
,Amodel® PPA AE-8933,Polyphthalamide (PPA),(C14H16N2O2)n,Polymer,130,220,2,240,1.60,8.0,12000,9.0,1.2,25.0,"Glass-fiber reinforced, extreme thermal resistance, excellent dimensional stability, chemical resistance",https://www.solvay.com/en/brands/amodel-ppa
,Amodel® PPA HFFR,Polyphthalamide (PPA),(C14H16N2O2)n,Polymer,133,185,3,225,1.45,14.0,9100,7.0,1.4,28.0,"Halogen-free flame retardant, high CTI, excellent mechanical properties, thermal stability",https://www.solvay.com/en/brands/amodel-ppa
,Amodel® BIOS,Bio-based Polyphthalamide,(C14H16N2O2)n,Polymer,131,188,3,220,1.39,17.0,8900,8.2,1.6,25.5,"Bio-based content, reduced carbon footprint, excellent mechanical properties, heat resistance",https://www.solvay.com/en/brands/amodel-ppa
,Ixef® 1022,Polyarylamide (PARA),(C13H9NO)n,Polymer,130,260,2,190,1.38,15.0,10500,7.0,1.2,24.0,"Superior strength, excellent surface finish, dimensional stability, chemical resistance",https://www.solvay.com/en/brands/ixef-para
,Ixef® 2022,Polyarylamide (PARA),(C13H9NO)n,Polymer,132,255,1,195,1.39,14.0,10600,6.5,1.1,24.5,"High stiffness, excellent surface finish, good dimensional stability, chemical resistance",https://www.solvay.com/en/brands/ixef-para
,Ixef® GS-1022,Polyarylamide (PARA),(C13H9NO)n,Polymer,131,270,2,190,1.38,14.5,10700,7.2,1.2,24.0,"Medical grade, gamma-sterilizable, excellent mechanical properties, dimensional stability",https://www.solvay.com/en/brands/ixef-para
,Ixef® HFFR,Polyarylamide (PARA),(C13H9NO)n,Polymer,134,250,2,185,1.42,13.0,10400,6.8,1.1,25.0,"Halogen-free flame retardant, excellent mechanical properties, good dimensional stability",https://www.solvay.com/en/brands/ixef-para
,Kalix® 2000,Polyamide Blend,(C12H22N2O2)n,Polymer,120,180,3,200,1.30,15.0,8500,7.0,1.8,24.0,"High stiffness, excellent dimensional stability, good chemical resistance, surface quality",https://www.solvay.com/en/brands/kalix
,Kalix® 3000,Polyamide Blend,(C12H22N2O2)n,Polymer,125,190,2,210,1.32,14.0,8700,6.5,1.7,24.5,"Superior stiffness, excellent surface finish, dimensional stability, chemical resistance",https://www.solvay.com/en/brands/kalix
,Kalix® 5000,Polyamide Blend,(C12H22N2O2)n,Polymer,128,200,2,220,1.33,20.0,8900,6.0,1.6,25.0,"High-flow, excellent surface quality, superior mechanical properties, dimensional stability",https://www.solvay.com/en/brands/kalix
,Kalix® 9000,Polyamide Blend,(C12H22N2O2)n,Polymer,130,210,2,230,1.35,13.0,9100,5.5,1.5,25.5,"Superior heat resistance, excellent mechanical properties, dimensional stability, chemical resistance",https://www.solvay.com/en/brands/kalix
,Ryton® R-4,Polyphenylene Sulfide (PPS),(C6H4S)n,Polymer,128,75,3,200,1.35,18.0,3800,3.5,0.05,24.0,"Excellent chemical resistance, high thermal stability, dimensional stability, flame retardancy",https://www.solvay.com/en/brands/ryton-pps
,Ryton® R-4-200,Polyphenylene Sulfide (PPS),(C6H4S)n,Polymer,132,180,1,220,1.65,12.0,12000,4.0,0.03,23.0,"40% glass reinforced, excellent thermal stability, chemical resistance, dimensional stability",https://www.solvay.com/en/brands/ryton-pps
,Ryton® R-7,Polyphenylene Sulfide (PPS),(C6H4S)n,Polymer,135,80,2,210,1.36,25.0,3900,3.0,0.05,24.5,"High flow, excellent chemical resistance, thermal stability, good dimensional stability",https://www.solvay.com/en/brands/ryton-pps
