Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Density (g/cm3),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Elastic Modulus (GPa),Poisson's Ratio,Fatigue Strength (MPa),Fracture Toughness (MPa·m^0.5),Coefficient of Thermal Expansion (µm/m·K),Electrical Resistivity (µΩ·cm),Corrosion Resistance (1-10),Property Overlap,Reference
,SS316L-S1,Sintered 316L Stainless Steel - Standard,Fe-17Cr-12Ni-2.5Mo,Sintered,7.60,520,210,1375,16.0,0.50,180,0.27,210,65,16.5,78,7,"Good corrosion resistance, Moderate strength, Biocompatible","Journal of Materials Processing Technology 285:116762 (2021), Powder Metallurgy 63(5):338-348 (2020), Materials Science and Engineering: A 812:141085 (2021)"
,SS316L-S2,Sintered 316L Stainless Steel - High Density,Fe-17Cr-12Ni-2.5Mo,Sintered,7.75,580,240,1375,17.2,0.50,190,0.27,230,72,16.2,74,8,"Enhanced density, Improved mechanical properties, Good corrosion resistance","Journal of Materials Processing Technology 285:116762 (2021), Powder Metallurgy 63(5):338-348 (2020), Materials Science and Engineering: A 812:141085 (2021)"
,SS316L-S3,Sintered 316L Stainless Steel - Fine Grain,Fe-17Cr-12Ni-2.5Mo,Sintered,7.65,550,225,1375,16.5,0.50,185,0.27,220,68,16.4,76,7,"Fine microstructure, Enhanced ductility, Uniform properties","Journal of Materials Processing Technology 285:116762 (2021), Powder Metallurgy 63(5):338-348 (2020), Materials Science and Engineering: A 812:141085 (2021)"
,SS304L-S1,Sintered 304L Stainless Steel - Standard,Fe-18Cr-8Ni,Sintered,7.55,510,200,1400,15.8,0.50,175,0.28,200,62,17.2,72,6,"Cost-effective, Good formability, Moderate corrosion resistance","Powder Metallurgy Progress 20(1):50-61 (2020), Materials Science and Engineering: A 764:138252 (2019), Journal of Materials Engineering and Performance 29:7825-7835 (2020)"
,SS304L-S2,Sintered 304L Stainless Steel - High Density,Fe-18Cr-8Ni,Sintered,7.70,570,230,1400,16.8,0.50,185,0.28,220,69,16.8,68,7,"Enhanced density, Improved mechanical properties, Good formability","Powder Metallurgy Progress 20(1):50-61 (2020), Materials Science and Engineering: A 764:138252 (2019), Journal of Materials Engineering and Performance 29:7825-7835 (2020)"
,SS17-4PH-S1,Sintered 17-4 PH Stainless Steel - Standard,Fe-17Cr-4Ni-4Cu-0.3Nb,Sintered,7.65,950,750,1400,14.5,0.46,190,0.27,380,55,10.8,80,8,"High strength, Precipitation hardenable, Good corrosion resistance","Journal of Materials Research and Technology 9(3):6025-6037 (2020), Powder Metallurgy 64(1):64-72 (2021), Materials Science and Engineering: A 802:140631 (2021)"
,SS17-4PH-S2,Sintered 17-4 PH Stainless Steel - High Density,Fe-17Cr-4Ni-4Cu-0.3Nb,Sintered,7.75,1050,820,1400,15.2,0.46,200,0.27,420,62,10.5,76,8,"Enhanced density, Superior strength, Good dimensional stability","Journal of Materials Research and Technology 9(3):6025-6037 (2020), Powder Metallurgy 64(1):64-72 (2021), Materials Science and Engineering: A 802:140631 (2021)"
,SS410-S1,Sintered 410 Stainless Steel - Standard,Fe-12Cr-0.15C,Sintered,7.60,620,450,1460,24.5,0.46,190,0.28,280,48,9.9,60,5,"Heat treatable, Moderate corrosion resistance, Magnetic","Powder Metallurgy Progress 19(2):112-123 (2019), Journal of Materials Processing Technology 279:116577 (2020), Materials Science and Engineering: A 772:138833 (2020)"
,SS410-S2,Sintered 410 Stainless Steel - High Density,Fe-12Cr-0.15C,Sintered,7.75,680,510,1460,25.8,0.46,200,0.28,310,54,9.7,57,6,"Enhanced density, Improved hardness, Better wear resistance","Powder Metallurgy Progress 19(2):112-123 (2019), Journal of Materials Processing Technology 279:116577 (2020), Materials Science and Engineering: A 772:138833 (2020)"
,SS430-S1,Sintered 430 Stainless Steel - Standard,Fe-17Cr-0.12C,Sintered,7.55,480,380,1425,26.0,0.46,200,0.29,220,45,10.4,60,6,"Ferritic structure, Good formability, Moderate corrosion resistance","Journal of Materials Engineering and Performance 28(9):5797-5806 (2019), Powder Metallurgy 62(4):253-263 (2019), Materials Science and Engineering: A 739:262-272 (2019)"
,SS430-S2,Sintered 430 Stainless Steel - High Density,Fe-17Cr-0.12C,Sintered,7.70,540,420,1425,27.2,0.46,210,0.29,250,50,10.2,57,7,"Enhanced density, Improved mechanical properties, Better corrosion resistance","Journal of Materials Engineering and Performance 28(9):5797-5806 (2019), Powder Metallurgy 62(4):253-263 (2019), Materials Science and Engineering: A 739:262-272 (2019)"
,SS316L-Cu,Copper-Infiltrated 316L Stainless Steel,Fe-17Cr-12Ni-2.5Mo-10Cu,Sintered Composite,7.90,580,260,1120,28.5,0.48,170,0.28,240,70,16.8,45,7,"Enhanced thermal conductivity, Improved machinability, Self-lubricating properties","Journal of Materials Processing Technology 289:116935 (2021), Powder Metallurgy 63(3):200-210 (2020), Materials Science and Engineering: A 795:139961 (2020)"
