Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Density (g/cm3),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Elastic Modulus (GPa),Poisson's Ratio,Fatigue Strength (MPa),Fracture Toughness (MPa·m^0.5),Coefficient of Thermal Expansion (µm/m·K),Electrical Resistivity (µΩ·cm),Corrosion Resistance (1-10),Property Overlap,Reference
,Ti-6Al-4V (Grade 5),Alpha-Beta Titanium Alloy,Ti-6Al-4V,Alloy,4.43,950,880,1660,6.7,0.56,114,0.33,510,75,9.2,170,8,"High strength-to-weight ratio, Excellent corrosion resistance, Good fatigue resistance","ASTM F136, MMPDS-08, Journal of Materials Science 53:14007-14018"
,Ti-6Al-2Sn-4Zr-2Mo,Near-Alpha Titanium Alloy,Ti-6Al-2Sn-4Zr-2Mo,Alloy,4.54,950,860,1705,6.8,0.55,115,0.32,475,65,7.7,168,8,"Good creep resistance up to 550°C, Good weldability, Excellent fatigue strength","TIMET Corporation Technical Data, MMPDS-11, Journal of Materials Science and Technology 35:530-538"
,Ti-5Al-2.5Sn,Alpha Titanium Alloy,Ti-5Al-2.5Sn,Alloy,4.48,790,760,1650,7.8,0.58,110,0.31,380,70,9.4,165,8,"Excellent weldability, Good cryogenic properties, High temperature stability","ASTM B265, MMPDS-08, Materials Science and Engineering: A 527:6860-6869"
,Ti-3Al-2.5V,Alpha-Beta Titanium Alloy,Ti-3Al-2.5V,Alloy,4.48,620,520,1660,8.3,0.57,107,0.3,350,82,9.7,150,9,"Superior formability, Good corrosion resistance, Moderate strength","ASTM B265, TIMET Corporation Technical Data, Journal of Materials Engineering and Performance 24(5):1861-1868"
,Ti-10V-2Fe-3Al,Beta Titanium Alloy,Ti-10V-2Fe-3Al,Alloy,4.65,1240,1170,1590,7.2,0.54,110,0.33,620,55,8.5,145,7,"High strength, Good hardenability, Excellent fatigue resistance","TIMET Corporation Technical Data, MMPDS-08, Materials Science and Engineering: A 610:69-76"
,Ti-15V-3Cr-3Sn-3Al,Beta Titanium Alloy,Ti-15V-3Cr-3Sn-3Al,Alloy,4.76,1200,1105,1540,8.1,0.59,103,0.31,815,70,8.2,138,8,"High strength fastener material, Cold formable sheet product, Superior hydrogen embrittlement resistance","TIMET Corporation Technical Data, Titanium Technology in Aerospace (ASTM STP 1195), Materials Science and Engineering: A 610:69-76"
,Ti-3-8-6-4-4 (SP-700),Alpha-Beta Titanium Alloy,Ti-3Al-8V-6Cr-4Mo-4Zr,Alloy,4.68,1200,1100,1580,7.5,0.53,110,0.32,580,60,8.0,140,8,"Excellent cold formability, High strength, Good corrosion resistance","Nippon Steel Technical Data, Journal of Materials Processing Technology 214:1852-1860, Materials Science and Engineering: A 651:514-523"
,Ti-6Al-6V-2Sn,Alpha-Beta Titanium Alloy,Ti-6Al-6V-2Sn,Alloy,4.54,1170,1100,1650,6.6,0.56,114,0.33,550,60,9.0,165,7,"High strength at elevated temperatures, Good fracture toughness, Excellent fatigue resistance","ASTM B265, MMPDS-08, Journal of Materials Engineering and Performance 25(8):3214-3221"
,Ti-5Al-5Mo-5V-3Cr,Near-Beta Titanium Alloy,Ti-5Al-5Mo-5V-3Cr,Alloy,4.65,1250,1180,1600,6.8,0.54,112,0.32,600,65,8.3,155,7,"Ultra-high strength, Good fracture toughness, Excellent hardenability","TIMET Corporation Technical Data, Materials Science and Engineering: A 651:434-441, Journal of Materials Processing Technology 255:117-126"
,Ti-7Al-4Mo,Alpha-Beta Titanium Alloy,Ti-7Al-4Mo,Alloy,4.52,1050,970,1640,6.5,0.55,113,0.32,520,68,8.8,160,7,"Good high-temperature strength, Creep resistance, Oxidation resistance","ASTM B265, Journal of Materials Science 50:4253-4267, Materials Science and Engineering: A 527:6860-6869"
,Ti-8Al-1Mo-1V,Alpha Titanium Alloy,Ti-8Al-1Mo-1V,Alloy,4.37,950,890,1660,7.0,0.57,120,0.32,480,55,8.5,175,7,"High temperature strength, Good creep resistance, Oxidation resistance","TIMET Corporation Technical Data, MMPDS-08, Journal of Materials Engineering and Performance 27:5325-5340"
,Ti-17,Alpha-Beta Titanium Alloy,Ti-5Al-2Sn-2Zr-4Mo-4Cr,Alloy,4.65,1170,1100,1620,7.1,0.55,112,0.32,580,60,8.6,150,7,"High strength at elevated temperatures, Good fracture toughness, Deep hardenability","TIMET Corporation Technical Data, MMPDS-08, Materials Science and Engineering: A 651:514-523"
,Ti-662 (Ti-6Al-6V-2Sn),Alpha-Beta Titanium Alloy,Ti-6Al-6V-2Sn,Alloy,4.54,1170,1100,1650,6.6,0.56,114,0.33,550,60,9.0,165,7,"High strength fastener material, Good fatigue resistance, Excellent corrosion resistance","ASTM B265, MMPDS-08, Journal of Materials Engineering and Performance 25(8):3214-3221"
,Ti-6242S,Near-Alpha Titanium Alloy,Ti-6Al-2Sn-4Zr-2Mo-0.1Si,Alloy,4.54,960,870,1705,6.8,0.55,114,0.32,480,65,7.7,168,8,"Silicon addition for improved creep resistance, Good weldability, High temperature stability","TIMET Corporation Technical Data, MMPDS-11, Journal of Materials Science and Technology 35:530-538"
,Ti-5553,Beta Titanium Alloy,Ti-5Al-5Mo-5V-3Cr,Alloy,4.65,1250,1180,1600,6.8,0.54,112,0.32,600,65,8.3,155,7,"Ultra-high strength fastener material, Deep hardenability, Excellent fatigue resistance","TIMET Corporation Technical Data, Materials Science and Engineering: A 651:434-441, Journal of Materials Processing Technology 255:117-126"
,Ti-45Nb,Beta Titanium Alloy,Ti-45Nb,Alloy,5.70,550,480,1740,12.5,0.50,65,0.37,300,85,7.3,100,9,"Excellent biocompatibility, Superior corrosion resistance, Low elastic modulus","Journal of Materials Science: Materials in Medicine 29:73, Materials Science and Engineering: C 33:2625-2631, ASTM F2129"
,Ti-13Nb-13Zr,Beta Titanium Alloy,Ti-13Nb-13Zr,Alloy,4.89,860,770,1660,8.9,0.53,79,0.34,430,80,7.5,130,9,"Low elastic modulus, Excellent biocompatibility, Superior corrosion resistance","ASTM F1713, Journal of Materials Science: Materials in Medicine 29:73, Materials Science and Engineering: C 33:2625-2631"
,Ti-15Mo,Beta Titanium Alloy,Ti-15Mo,Alloy,4.96,870,790,1670,9.2,0.52,78,0.34,450,65,8.2,125,8,"Excellent formability, Good corrosion resistance, Low elastic modulus","ASTM F2066, Journal of Materials Engineering and Performance 24:3361-3369, Materials Science and Engineering: A 651:434-441"
,Ti-12Mo-6Zr-2Fe (TMZF),Beta Titanium Alloy,Ti-12Mo-6Zr-2Fe,Alloy,4.92,1000,910,1580,8.0,0.53,80,0.33,500,55,8.0,135,8,"Low modulus, High strength, Excellent corrosion resistance","ASTM F1813, Journal of Materials Science: Materials in Medicine 29:73, Materials Science and Engineering: C 33:2625-2631"
,Ti-35Nb-7Zr-5Ta,Beta Titanium Alloy,Ti-35Nb-7Zr-5Ta,Alloy,5.06,590,530,1650,9.5,0.51,55,0.37,320,70,7.6,115,9,"Ultra-low elastic modulus, Excellent biocompatibility, Superior corrosion resistance","Journal of Materials Science: Materials in Medicine 29:73, Materials Science and Engineering: C 33:2625-2631, ASTM F2129"
,Ti-6Al-4V ELI (Grade 23),Alpha-Beta Titanium Alloy,Ti-6Al-4V ELI,Alloy,4.43,860,790,1660,6.7,0.56,113,0.33,480,100,9.2,172,8,"Extra low interstitials, Superior fracture toughness, Critical aerospace fastener grade","ASTM F136, MMPDS-08, Aerospace Materials Specification AMS 4930, Journal of Materials Engineering and Performance 26:2511-2518 (2017)"
,Ti-6Al-4V STA,Alpha-Beta Titanium Alloy (Solution Treated & Aged),Ti-6Al-4V,Alloy,4.43,1100,1040,1660,6.7,0.56,114,0.33,550,65,9.2,170,8,"Heat treated for fastener applications, Superior thread strength, Enhanced stress relaxation resistance","ASTM F136, AMS 4928, Journal of Materials Processing Technology 267:34-43 (2019), Aerospace Fastener Handbook 3rd Ed."
,Ti-6Al-2Nb-1Ta-0.8Mo,Near-Alpha Titanium Alloy,Ti-6Al-2Nb-1Ta-0.8Mo,Alloy,4.51,900,830,1710,6.6,0.54,116,0.32,470,75,7.5,165,8,"High-temperature fastener grade, Excellent creep resistance, Thermal stability up to 600°C","TIMET Corporation Technical Data, AMS 4981, Journal of Materials Science and Technology 37:245-258 (2021)"
,Ti-6Al-2Sn-4Zr-6Mo,Alpha-Beta Titanium Alloy,Ti-6Al-2Sn-4Zr-6Mo,Alloy,4.65,1170,1100,1595,6.5,0.53,114,0.32,580,55,7.8,160,7,"High-strength fastener material, Deep hardenability, Superior fatigue performance","TIMET Corporation Technical Data, AMS 4981, Journal of Materials Engineering and Performance 28:4475-4486 (2019)"
,Ti-6Al-4V (CW),Alpha-Beta Titanium Alloy (Cold Worked),Ti-6Al-4V,Alloy,4.43,1050,980,1660,6.7,0.56,116,0.33,540,65,9.2,172,8,"Cold worked for fastener applications, Enhanced yield strength, Superior thread rolling properties","ASTM F136, AMS 4928, Journal of Materials Processing Technology 285:116-124 (2020), Aerospace Fastener Handbook 3rd Ed."
