Material ID,Commercial Name,Canonical Name,Chemical Formula,Type,Property Overlap,Fracture Toughness (MPa m^0.5),Density (g/cm³),Flexural Strength (MPa),Compressive Strength (MPa),References
,Yttria-stabilized zirconia,Yttrium-Doped Zirconium Dioxide,ZrO2-Y2O3,Ceramic,"Ionic conductivity, high-temperature stability",9.5,6.07,241,1850,https://www.ceramtec.com/ceramic-materials/zirconium-oxide/
,Scandia-stabilized zirconia,Scandium-Doped Zirconium Dioxide,ZrO2-Sc2O3,Ceramic,"Ionic conductivity, chemical stability",8.7,5.88,332,1900,https://www.tosoh.com/our-products/advanced-materials/zirconia-powders
,Magnesia-stabilized zirconia,Magnesium-Doped Zirconium Dioxide,ZrO2-MgO,Ceramic,"High-temperature stability, chemical inertness",4.80,5.7,519,2125,https://www.azom.com/article.aspx?ArticleID=133
,Tetragonal zirconia polycrystal,Tetragonal Zirconia Polycrystal (TZP),ZrO2-Y2O3,Ceramic,"Hardness, wear resistance",6.80,6.18,847,2138,https://www.ceramtec.com/ceramic-materials/zirconium-oxide/
,Zirconia-reinforced composite,Zirconia-Polymer Composite,ZrO2-polymer,Ceramic,"Lightweight, strength",4.80,4.3,417,1072,https://www.ivoclar.com/en/p/all/ips-emax-zircad-prime
,Zirconia-based composite,High-Toughness Zirconia Composite,ZrO2-composite,Ceramic,"High strength-to-weight ratio, metal-like toughness",32.00,5.63,1423,2500,https://www.ceramtec.com/ceramic-materials/zirconium-oxide/
,Zirconia-toughened alumina,Alumina-Zirconia Composite (ZTA),Al2O3-ZrO2,Ceramic,"Wear resistance, biocompatibility",7.90,5.46,824,2981,https://www.ceramtec.com/ceramic-materials/zirconium-oxide/
,Zirconia composite,Advanced Zirconia Composite,ZrO2-composite,Ceramic,"High strength, biocompatibility",15.10,6.06,1398,2451,https://www.tosoh.com/our-products/advanced-materials/zirconia-powders
,Ceria-stabilized zirconia,Cerium-Doped Zirconium Dioxide,ZrO2-CeO2,Ceramic,"Wear resistance, thermal shock resistance",9.80,6.3,797,2219,https://www.saint-gobain.com/en/solutions/industrial-applications/ceramics
,Translucent zirconia,Translucent Yttria-Zirconia,ZrO2-Y2O3,Ceramic,"Aesthetics, strength",5.80,6.2,687,2000,https://www.ivoclar.com/en/p/all/ips-emax-zircad-prime
,Zirconia with enhanced fracture toughness,Alumina-Toughened Zirconia (ATZ),ZrO2-Al2O3,Ceramic,"High strength-to-weight ratio",17.00,5.07,994,2280,https://www.ceramtec.com/ceramic-materials/zirconium-oxide/
,Cubic zirconia,Calcium-Stabilized Zirconia,ZrO2-CaO,Ceramic,"Optical clarity, durability",2.4,5.99,350,1850,https://www.azom.com/article.aspx?ArticleID=11082
,Yttria-stabilized zirconia,Dental-Grade Yttria-Zirconia,ZrO2-Y2O3,Ceramic,"Biocompatibility, aesthetics",10.00,6.05,1047,2185,https://www.tosoh.com/our-products/advanced-materials/zirconia-powders
,Zirconia nanoparticles,Nano-Structured Zirconium Dioxide,ZrO2,Ceramic,"Optical transparency, quantum confinement",6.5,5.6,1000,2150,https://www.nanopartikel.info/en/nanoinfo/materials/zirconium-dioxide
,Zirconia-based ceramic composite,SiC-Whisker Reinforced Zirconia,ZrO2-SiC,Ceramic,"High strength-to-weight ratio, impact resistance",15.00,5.53,950,2400,https://www.azom.com/article.aspx?ArticleID=11082
,Porous zirconia,Biomedical Porous Zirconia,ZrO2-Y2O3,Ceramic,"Osseointegration, structural support",7.00,6.05,1097,2094,https://www.tosoh.com/our-products/advanced-materials/zirconia-powders
,Zircalon 30,Ultra High-Strength Zirconia,ZrO2-composite,Ceramic,"High strength, biocompatibility",14.8,6.05,1200,2095,https://www.ceramtec.com/ceramic-materials/zirconium-oxide/
,CeramaZirc™ Ultra Tough,Advanced Zirconia Ceramic,ZrO2-composite,Ceramic,"High strength-to-weight ratio, impact resistance",17.0,5.75,1100,2300,https://precision-ceramics.com/materials/zirconia/
,CeramaZirc Ultra Tough,Alumina-Platelet Reinforced Zirconia,ZrO2-Al2O3,Ceramic,"High strength, wear resistance",17.0,5.78,1150,2350,https://precision-ceramics.com/materials/zirconia/
