Use Case,Industry,Material,Chemical Formula,Melting Point (°C),Electrical Conductivity (S/m),"Catalytic Activity (TOF, s^-1)","Hardness (Vickers, HV)",Property Overlap,Corrosion Rate (mm/year),Gamma Radiation Emission (keV),Half-life
Semiconductor mounting,Electronics,AuRoFUSE™ paste,Au (submicron particles),1050-1100,40-50 x 10^6,,20-30,"Low-temperature bonding, surface followability, high density mounting",,,
High-temperature bonding,Aerospace,EP46HT epoxy,Proprietary epoxy blend,,,,,"High temperature resistance, chemical resistance, dimensional stability",,,
Electrical contacts,Electronics,Ag/Ni composite,Ag0.9Ni0.1,960-980,50-55 x 10^6,,100-120,"Electrical conductivity, wear resistance, contact reliability",,,
Catalytic converters,Automotive,Pt/Pd catalyst,Pt0.7Pd0.3,1700-1750,9-10 x 10^6,10-50,40-50,"Catalytic activity, thermal stability, durability",,,
Dental fillings,Healthcare,Ag amalgam,Ag3Sn,600-700,1-2 x 10^6,,100-150,"Biocompatibility, durability, ease of application",,,
Fuel cell electrodes,Energy,Pt nanoparticles,Pt,1768-1770,9.4-9.6 x 10^6,5-20,,"Catalytic activity, durability, conductivity",,,
Conductive adhesives,Electronics,Ag-filled epoxy,Ag in polymer matrix,,1-5 x 10^6,,,"Electrical conductivity, adhesion, flexibility",,,
Jewelry soldering,Fashion,Au-Ag-Cu alloy,Au0.75Ag0.125Cu0.125,750-780,40-45 x 10^6,,150-170,"Low melting point, color match, strength",,,
Micro-motor brushes,Industrial,Ag-Pd alloy,Ag0.7Pd0.3,1100-1200,50-55 x 10^6,,100-120,"Wear resistance, conductivity, low contact resistance",,,
Optical coatings,Optics,Au thin film,Au,1064-1068,45-48 x 10^6,,20-30,"Reflectivity, corrosion resistance, adhesion",,,
Thermocouple wires,Industrial,Pt-Rh alloy,Pt0.87Rh0.13,1830-1850,9-10 x 10^6,,100-120,"Temperature stability, thermoelectric properties, oxidation resistance",,,
Brazing filler metal,Manufacturing,Ag-Cu-Zn alloy,Ag0.45Cu0.3Zn0.25,650-700,40-45 x 10^6,,120-140,"Low melting point, wettability, strength",,,
EMI shielding,Aerospace,Ag coating,Ag,961-962,61-63 x 10^6,,25-30,"Electrical conductivity, corrosion resistance, adhesion",,,
Gas sensors,Environmental,Au nanoparticles,Au,1064-1068,45-48 x 10^6,,,"Surface reactivity, stability, sensitivity",,,
