Material ID,Remarks,Name,Melting Point (°C),Electrical Conductivity (S/m),"Catalytic Activity (TOF, s^-1)","Hardness (Vickers, HV)"
,AuRoFUSE™ paste,Au (submicron particles),1066,46 x 10^6,,25
,EP46HT epoxy,Proprietary epoxy blend,, - ,,
,Ag/Ni composite,Ag0.9Ni0.1,970,52.5 x 10^6,,110
,Pt/Pd catalyst,Pt0.7Pd0.3,1725,9.75 x 10^6,28,45
,Ag amalgam,Ag3Sn,650,1.5 x 10^6,,125
,Pt nanoparticles,Pt,1769,9.5 x 10^6,12,
,Ag-filled epoxy,Ag in polymer matrix,,3 x 10^6,,
,Au-Ag-Cu alloy,Au0.75Ag0.125Cu0.125,765,42.5 x 10^6,,160
,Ag-Pd alloy,Ag0.7Pd0.3,1150,52.5 x 10^6,,110
,Au thin film,Au,1066,46.5 x 10^6,,25
,Pt-Rh alloy,Pt0.87Rh0.13,1840,9.75 x 10^6,,110
,Ag-Cu-Zn alloy,Ag0.45Cu0.3Zn0.25,675,42.5 x 10^6,,130
,Ag coating,Ag,961,62 x 10^6,,27
,Au nanoparticles,Au,1066,46.5 x 10^6,,
,Au plating,Au,1066,46.5 x 10^6,,25
,Ir-Pt alloy,Ir0.8Pt0.2,2325,20 x 10^6,,225
,Pt-Ir alloy,Pt0.9Ir0.1,1790,9.75 x 10^6,,140
,Ag paste,Ag,961,62 x 10^6,,27
,Pd thin film,Pd,1554,9.75 x 10^6,,45
,Au-Ag-Cu alloy,Au0.69Ag0.25Cu0.06,825,42.5 x 10^6,,140
,Pt-Rh coating,Pt0.9Rh0.1,1840,9.75 x 10^6,,110
,Au-Sn solder,Au0.8Sn0.2,290,8.5 x 10^6,,60
,Pt-W alloy,Pt0.92W0.08,1725,8.5 x 10^6,,225
,Pt-Al alloy,Pt3Al,1575,2.5 x 10^6,,325
,Au nanoparticles,Au,1066,46.5 x 10^6,,
,Ir-Re alloy,Ir0.8Re0.2,2325,4.5 x 10^6,,425
,Pd-Ag membrane,Pd0.75Ag0.25,1225,16 x 10^6,,110
,Ag-Au alloy,Ag0.95Au0.05,970,61 x 10^6,,35
,Au nanoparticles,Au,1066,46.5 x 10^6,,
,Ag nanowires,Ag,961,62 x 10^6,,
,Ruthenium alloy,Ru0.9Co0.1,2300,14 x 10^6,,225
,Ruthenium coating,Ru,2300,14 x 10^6,,225
,Ruthenium dioxide,RuO2,1250,2 x 10^4,,900
