Use-Case,Industry,Commercial Name(s),Chemical Name,Chemical Formula,Density (g/cm3),Melting Point (C),Refractive Index,Property Overlap,Reference
Dispersant for pigment wetting and stability,Industrial,Disperbyk 111,Polycarboxylic Acid Salt,C8H12O4.Na,1.10-1.15,,,Dispersibility; low viscosity; pigment stabilization,https://www.byk.com/edditives/byk-111.html
Biocide for microbial protection in water-based paints,Architectural,Acticide MBS,Methylisothiazolinone Blend,C4H5NOS,1.02-1.04,,,Microbial inhibition; long-term shelf life; broad spectrum,https://www.thor.com/products/acticide
Anti-foaming agent for high-speed mixing systems,Decorative,Tego Foamex 805,Polysiloxane Emulsion,C6H18OSi2,1.00-1.05,,,Foam suppression; compatibility; persistence,https://www.evonik.com/en/products/tego-foamex-805
Flow and leveling aid for spray coatings,Automotive,EFKA 3777,Polyether Modified Polysiloxane,C12H26O3Si,0.95-1.00,,,Leveling; wetting; anti-cratering,https://www.basf.com/global/en/products/efka-3777
Thixotrope for sag control in vertical applications,Construction,Bentone 27,Organoclay,Approx Al2O3.4SiO2.H2O,1.8-2.1,,,Rheology modification; sag resistance; stability,https://www.elementis.com/products/bentone-27
UV absorber for exterior topcoats,Architectural,Tinuvin 1130,Benzotriazole Derivative,C20H24N2O2,1.16-1.18,,,UV absorption; photo-stabilization; transparency,https://www.basf.com/global/en/products/tinuvin-1130
Adhesion promoter for multi-surface primers,Industrial,Silquest A-187,Glycidoxypropyltrimethoxysilane,C9H20O5Si,1.06-1.10,90-100,,Adhesion; moisture resistance; crosslinking,https://www.momentive.com/en-us/categories/silanes/silquest-a-187
Wetting agent for difficult substrates,Packaging,Surfynol 104,Acetylenic Diol,C10H18O2,0.95-1.00,100-10000,,Surface wetting; foam control; dynamic surface tension,https://www.eastman.com/Pages/ProductHome.aspx?product=71000434
Flash rust inhibitor for metal primers,Industrial,Additol VXW 6206,Nitrite-based Blend,C6H11NO3,1.05-1.10,,,Corrosion inhibition; early protection; metal adhesion,https://www.allnex.com/product/additol-vxw-6206
Open-time extender for waterborne systems,Decorative,Dowanol DPnB,Dipropylene Glycol n-Butyl Ether,C10H22O3,0.95-0.97,230-232,1.35-1.50,Slow evaporation; film formation; workability,https://www.dow.com/en-us/pdp.dowanol-dpnb.20592z.html
Defoamer for waterborne coatings,Industrial,FOAMSTAR ST 2438,Modified Polyether Siloxane,C10H22O3Si2,1.01-1.03,,,Low foam generation; good compatibility; long-lasting,https://www.basf.com/global/en/products/foamstar-st-2438
Thickener for rheology control in low-VOC paints,Architectural,Acrysol RM-2020,Hydrophobically Modified Alkali-Swellable Emulsion Polymer,Varies,1.04-1.07,,,Viscosity control; shear-thinning; stability,https://www.dow.com/en-us/pdp.acrysol-rm-2020.274096z.html
