Use-Case,Industry,Commercial Name(s),Chemical Name,Chemical Formula,Density (g/cm3),Melting Point (C),Refractive Index,Property Overlap,Reference
Binder for alkali resistance in cement coatings,Construction,Hydro PLIOLITE,Synthetic Styrene Acrylic Copolymer,(C8H8)x.(C4H6O2)y,1.01-1.05,60-80,1.47-1.50,Alkali resistance; water resistance; adhesion,https://www.synthomer.com/products/hydro-pliolite-7102
Binder for high-gloss coatings,Decorative,BYK-Chemie Acrylic Resin,Acrylic Polyol Resin,(C10H14O4)x,1.08-1.12,80-90,1.48-1.50,Gloss retention; clarity; fast drying,https://www.byk.com/products/additives/product-details/byk-410
Binder for corrosion-resistant industrial paints,Industrial,Bayhydrol A XP 2690,Aliphatic Polyurethane Dispersion,(C7H10N2O3)x,1.04-1.07,100-120,1.52-1.55,Chemical resistance; flexibility; weather resistance,https://solutions.basf.com/catalog/coatings/3/19070229
Binder for powder coatings,Industrial,REAFREE 1982,Saturated Polyester Resin,(C10H8O4)x,1.16-1.20,100-130,1.56-1.58,Durability; flow; heat resistance,https://www.synthomer.com/products/reafree-1982
Binder for road marking paints,Transportation,Setalux 17-1453,BMAA Acrylic Copolymer,(C10H14O2)x.(C4H6O2)y,1.05-1.09,85-95,1.50-1.52,UV resistance; abrasion resistance; fast drying,https://www.allnex.com/product/setalux-17-1453
Binder for UV-cured coatings,Electronics,Ebecryl 600,Urethane Acrylate Oligomer,C25H36N2O8,1.05-1.10,0-200,1.50-1.53,UV reactivity; hardness; adhesion,https://www.allnex.com/product/ebecryl-600
Binder for exterior masonry paints,Construction,NEOCRYL XK-90,Styrene Acrylic Emulsion,(C8H8)x.(C4H6O2)y,1.02-1.06,70-85,1.48-1.50,Water resistance; alkali resistance; breathability,https://www.avient.com/products/neocryl-xk-90
Binder for flexible plastic coatings,Plastics,Paraloid B-44,Acrylic Copolymer Resin,(C5H8O2)x.(C4H6O2)y,1.10-1.12,90-105,1.49-1.52,Flexibility; clarity; chemical resistance,https://www.dow.com/en-us/pdp.paraloidb44clearpellets.11296z.html
Binder for heat-resistant coatings,Industrial,Resinox R-200,Phenolic Resin,(C8H8O)x.(C7H6O2)y,1.15-1.18,80-100,1.55-1.60,Heat resistance; solvent resistance; hardness,https://www.ube-ind.co.jp/ube/en/products/chemicals/resins.html
Binder for radiation-curable coatings,Packaging,Sartomer CN 120,Acrylated Polyester Resin,(C12H14O4)x,1.05-1.10,0-200,1.48-1.51,Fast cure; flexibility; gloss,https://www.sartomer.com/product-cn120
