Use-Case,Industry,Commercial Name(s),Chemical Name,Chemical Formula,Density (g/cm3),Melting Point (C),Refractive Index,Property Overlap,Reference
Extender for weather resistance in architectural paints,Architectural,OMYACARB 5,Basically Ground Calcium Carbonate,CaCO3,2.70-2.75,825-900,1.59-1.60,UV resistance; opacity; cost-effectiveness,https://www.omya.com/Documents/tds/OMYACARB_5_TDS.pdf
Filler for gloss control in coatings,Decorative,MINEX 4,Aluminum Silicate (Nepheline Syenite),KNa3Al4Si4O16,2.6-2.7,1100-1200,1.53-1.55,Gloss control; hardness; inertness,https://www.thecarycompany.com/media/pdf/specs/minex-4-spec.pdf
Extender for mechanical strength in primers,Industrial,Hubercarb Q325,Ground Calcium Carbonate,CaCO3,2.7-2.8,825-900,1.59,Reinforcement; cost reduction; pigment spacing,https://www.hubermaterials.com/calcium-carbonate/products/hubercarb-gcc/
Extender for reinforcement in wood coatings,Furniture,TALC 95,Mg Silicate Hydrate,Mg3Si4O10(OH)2,2.7-2.8,900-1000,1.57-1.59,Silky finish; adhesion; smooth texture,https://www.imerys.com/products/talc
Filler for corrosion resistance in marine coatings,Marine,WOLLASTOCOAT,Wollastonite,CaSiO3,2.9-3.0,1540-1560,1.62-1.63,Barrier protection; reinforcement; low oil absorption,https://www.imerys.com/products/wollastonite
Filler for sheen control in emulsion paints,Architectural,ASP 170,Gel Grade Kaolin,Al2Si2O5(OH)4,2.58-2.60,1000-10000,1.56-1.58,Sheen control; stain resistance; suspension stability,https://www.kaolin.com/assets/files/ASP-170.pdf
Filler for matting and texture in paints,Decorative,SILTEX 44,Amorphous Silica,SiO2,2.2-2.3,1600-10000,1.46-1.47,Matting; scrub resistance; high absorption,https://www.huberadvancedmaterials.com/products/silica/siltex-44/
Extender for improved barrier properties,Packaging,BARIMIN 200,Micronized Barium Sulfate,BaSO4,4.3-4.5,1580-1600,1.64-1.65,Chemical inertness; brightness; weight balance,https://www.solvay.com/en/product/barimin-200
Filler for anti-corrosive performance,Infrastructure,MIOX R-02,Micaceous Iron Oxide,Fe2O3,4.8-5.0,1500-10000,2.85-3.00,Barrier film; flake structure; weather resistance,https://www.kremer-pigmente.com/en/micaceous-iron-oxide-r-02-100020.html
Extender for UV resistance in roof coatings,Construction,ULTRAFINE 100,Natural Silicate Blend,Approx KAlSi3O8,2.6-2.7,1100-1200,1.55-1.58,UV resistance; heat reflection; reinforcement,https://www.natural-minerals.com/ultrafine-series
