Use-Case,Industry,Commercial Name(s),Chemical Name,Chemical Formula,Density (g/cm3),Melting Point (C),Refractive Index,Property Overlap,Reference
Red pigment for automotive finishes,Automotive,Vibrance Collection VWM5556,Quinacridone Red,C20H12N2O2,1.35-1.40,300-1000,1.68-1.70,High tinting strength; lightfastness; chemical stability,https://en.wikipedia.org/wiki/Quinacridone#Pigment_Red_122
Yellow pigment for industrial coatings,Industrial,PPG HI-TEMP 1027,Bismuth Vanadate,BiVO4,6.1-6.5,400-1000,2.3-2.4,High opacity; heat stability; weather resistance,https://en.wikipedia.org/wiki/Bismuth_vanadate
Green pigment for marine coatings,Marine,SeaGuard 6000,Chromium Oxide Green,Cr2O3,5.15-5.25,2400-2450,2.5-2.6,Chemical resistance; UV stability; opacity,https://en.wikipedia.org/wiki/Chromium(III)_oxide
Orange pigment for decorative paints,Decorative,AURA Color Stories,Benzimidazolone Orange,C17H12N4O5,1.4-1.6,300-1000,1.7-1.8,Bright hue; lightfastness; chemical stability,https://en.wikipedia.org/wiki/Benzimidazolone
Violet pigment for artist paints,Art Supplies,Winsor Violet (Dioxazine),Dioxazine Violet,C34H22Cl2N4O2,1.3-1.4,300-1000,1.6-1.7,High chroma; transparency; lightfastness,https://en.wikipedia.org/wiki/Dioxazine
Brown pigment for wood stains,Wood Finishes,Transparent Iron Oxide Brown,Iron Oxide Hydroxide,FeO(OH),3.4-3.9,,2.2-2.4,Transparency; UV stability; natural appearance,https://pubs.usgs.gov/fs/2009/3089/pdf/FS09-3089.pdf
Black pigment for automotive coatings,Automotive,Carbon Black,Amorphous Carbon,C,1.8-2.1,3500-10000,2.4-2.6,High jetness; UV stability; conductivity,https://en.wikipedia.org/wiki/Carbon_black
White pigment for reflective coatings,Industrial,Zinc Oxide,Zinc Oxide,ZnO,5.4-5.9,1950-2000,2.0-2.1,UV protection; fungicidal properties; brightness,https://en.wikipedia.org/wiki/Zinc_oxide
Metallic effect pigment for automotive,Automotive,PPG Liquid Metal,Aluminum Flake,Al,2.7,660,,Metallic luster; opacity; corrosion resistance,https://en.wikipedia.org/wiki/Aluminium_powder
Pearlescent effect for decorative finishes,Decorative,Iriodin,Mica coated with Titanium Dioxide,Varies,2.7-3.0,600-900,1.56-1.60,Pearlescent luster; transparency; stability,https://en.wikipedia.org/wiki/Pearlescent_pigment
Blue pigment for industrial coatings,Industrial,Ultramarine Blue,Sodium Aluminosilicate Sulfide,Na6Al6Si6O24S4,2.35,1000-10000,1.5-1.6,Bright blue hue; lightfastness; heat stability,https://en.wikipedia.org/wiki/Ultramarine
Yellow pigment for traffic markings,Transportation,Lead Chromate,Lead(II) Chromate,PbCrO4,6.12,844,2.3-2.5,High visibility; durability; weather resistance,https://en.wikipedia.org/wiki/Lead(II)_chromate
Red pigment for industrial coatings,Industrial,PR 254,Diketopyrrolopyrrole Red,C18H10Cl2N2O2,1.5-1.6,300-1000,1.7-1.8,High chroma; lightfastness; chemical stability,https://en.wikipedia.org/wiki/Diketopyrrolopyrrole
Green pigment for camouflage coatings,Military,PPG MIL-DTL-64159,Phthalocyanine Green,C32H16Cl8CuN8,1.7-1.9,300-1000,1.6-1.7,Low reflectance; chemical stability; durability,https://en.wikipedia.org/wiki/Phthalocyanine_Green
Yellow pigment for artist paints,Art Supplies,Cadmium Yellow,Cadmium Sulfide,CdS,4.82,1750,2.5-2.7,High opacity; lightfastness; warm hue,https://en.wikipedia.org/wiki/Cadmium_sulfide
Blue pigment for ceramics and high-heat coatings,Ceramics,Cobalt Blue,Cobalt(II) Aluminate,CoAl2O4,6.0-6.2,1960,1.76-1.80,High temperature resistance; color stability; opacity,https://en.wikipedia.org/wiki/Cobalt_blue
Red pigment for plastics and automotive,Automotive,Hostaperm Red E5B,Perylene Red,C40H20N2O4,1.4-1.6,300-1000,1.75-1.85,Weather resistance; chemical inertness; high tinting strength,https://en.wikipedia.org/wiki/Perylene
Pink pigment for cosmetics and coatings,Cosmetics,PV Fast Pink E,Ferric Ferrocyanide (Iron Blue),Fe4[Fe(CN)6]3,1.8-2.0,300-1000,1.6-1.7,Color brilliance; non-toxic; stability,https://en.wikipedia.org/wiki/Ferric_ferrocyanide
Green pigment for safety gear and plastics,Safety & Plastics,Copper Chromite Green,Copper(II) Chromite,CuCr2O4,5.3-5.8,1000-10000,1.8-1.9,Weather stability; high opacity; durability,https://en.wikipedia.org/wiki/Chromium-based_pigments
Blue pigment for printing inks,Printing,PB 15:3 (Phthalo Blue BGS),Copper Phthalocyanine Beta Form,C32H16CuN8,1.6-1.7,300-1000,1.66-1.70,High lightfastness; color strength; stability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7988984/
Orange pigment for ceramic glazes,Ceramics,Cadmium Orange,Cadmium Sulfoselenide,Cd(S,Se),4.5-5.2,1000-10000,2.5-2.7,"High temperature resistance; vivid color; stability,https://en.wikipedia.org/wiki/Cadmium_sulfoselenide"
Yellow pigment for textile coatings,Textiles,Hansa Yellow G,Arylide Yellow,C12H12Cl2N4O2,1.3-1.5,1000-10000,1.6-1.7,Brightness; fast-drying; non-toxicity,https://en.wikipedia.org/wiki/Arylide_yellow
Brown pigment for architectural coatings,Architectural,Raw Umber,Natural Iron Oxide with Manganese,Fe2O3.MnO2,3.8-4.1,,2.2-2.4,Natural hue; stability; UV resistance,https://en.wikipedia.org/wiki/Umber
White pigment alternative for plastics,Plastics,Lithopone BLanc Fixe Mix,Zinc Sulfide + Barium Sulfate,ZnS.BaSO4,4.1,1000-10000,1.84-2.1,Opacity; cost-effective; chemical inertness,https://en.wikipedia.org/wiki/Lithopone
Blue pigment for artist paints,Art Supplies,Cerulean Blue,Cobalt(II) Stannate,CoSnO3,4.3-4.9,1200-1300,1.79-1.81,Excellent lightfastness; muted hue; opacity,https://en.wikipedia.org/wiki/Cerulean
Green pigment for plastics,Plastics,PG 17,Chromium Oxide Hydrate,Cr2O3.xH2O,3.5-3.9,600-10000,2.1-2.3,Weather resistance; non-toxicity; chemical stability,https://pubchem.ncbi.nlm.nih.gov/compound/Chromium-oxide-hydrate
Red pigment for architectural finishes,Architectural,Venetian Red,Natural Iron Oxide with Hematite,Fe2O3,4.9-5.2,1500-10000,2.94,Earthy tone; lightfastness; low cost,https://en.wikipedia.org/wiki/Venetian_red
Yellow pigment for automotive primers,Automotive,Nickel Titanate Yellow,Nickel(II) Titanate,NiTiO3,4.8-5.2,1350-1400,2.2-2.3,UV stability; corrosion resistance; non-migrating,https://www.sciencedirect.com/topics/chemistry/nickel-titanate
