Commercial Name,Canonical Name,Chemical Formula
BiO-100,Bismuth(III) Oxide,Bi2O3
BiO-Nano,Nanostructured Bismuth Oxide,Bi2O3
BiO-Alpha,Alpha-Phase Bismuth Oxide,α-Bi2O3
BiO-Delta,Delta-Phase Bismuth Oxide,δ-Bi2O3
BiO-Gamma,Gamma-Phase Bismuth Oxide,γ-Bi2O3
Fe2O3-Alpha,Hematite (Alpha Iron Oxide),α-Fe2O3
Fe2O3-Nano,Nanostructured Hematite,α-Fe2O3
Fe3O4-Mag,Magnetite (Iron(II.III) Oxide),Fe3O4
Fe3O4-Nano,Nanostructured Magnetite,Fe3O4
FeO-Wus,Wüstite (Iron(II.III) Oxide),FeO
Fe2O3-Gamma,Maghemite (Gamma Iron Oxide),γ-Fe2O3
BFO-100,Bismuth Ferrite,BiFeO3
BFO-Nano,Nanostructured Bismuth Ferrite,BiFeO3
BFO-La,Lanthanum-Doped Bismuth Ferrite,Bi0.9La0.1FeO3
BFO-Mn,Manganese-Doped Bismuth Ferrite,BiFe0.95Mn0.05O3
BFO-Nd,Neodymium-Doped Bismuth Ferrite,Bi0.9Nd0.1FeO3
BFO-Ti,Titanium-Doped Bismuth Ferrite,BiFe0.95Ti0.05O3
BFO-Nb,Niobium-Doped Bismuth Ferrite,BiFe0.95Nb0.05O3
BFO-Thin,Bismuth Ferrite Thin Film,BiFeO3
BFO-Co,Cobalt-Doped Bismuth Ferrite,BiFe0.95Co0.05O3
BFO-Gd,Gadolinium-Doped Bismuth Ferrite,Bi0.9Gd0.1FeO3
BiO-Beta,Beta-Phase Bismuth Oxide,β-Bi2O3
BiO-Y,Yttrium-Stabilized Bismuth Oxide,Bi0.85Y0.15O1.5
BiO-Er,Erbium-Doped Bismuth Oxide,Bi0.88Er0.12O1.5
BiO-Gd,Gadolinium-Doped Bismuth Oxide,Bi0.9Gd0.1O1.5
BiO-Sm,Samarium-Doped Bismuth Oxide,Bi0.88Sm0.12O1.5
Fe2O3-Meso,Mesoporous Hematite,α-Fe2O3
Fe2O3-Al,Aluminum-Doped Hematite,Fe1.9Al0.1O3
Fe2O3-Ti,Titanium-Doped Hematite,Fe1.9Ti0.1O3
Fe2O3-Si,Silicon-Doped Hematite,Fe1.92Si0.08O3
Fe3O4-Cu,Copper-Doped Magnetite,Fe2.85Cu0.15O4
Fe3O4-Zn,Zinc-Doped Magnetite,Fe2.8Zn0.2O4
Fe3O4-Mn,Manganese-Doped Magnetite,Fe2.85Mn0.15O4
Fe2O3-Cr,Chromium-Doped Hematite,Fe1.9Cr0.1O3
BFO-Dy,Dysprosium-Doped Bismuth Ferrite,Bi0.9Dy0.1FeO3
BFO-Sm,Samarium-Doped Bismuth Ferrite,Bi0.9Sm0.1FeO3
BFO-Zr,Zirconium-Doped Bismuth Ferrite,BiFe0.95Zr0.05O3
